PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6922							WOS:000310791900008		
J	Xing, Guichuan; Mathews, Nripan; Sun, Shuangyong; Lim, Swee Sien; Lam, Yeng Ming; Graetzel, Michael; Mhaisalkar, Subodh; Sum, Tze Chien								Long-Range Balanced Electron- and Hole-Transport Lengths in Organic-Inorganic CH3NH3PbI3								SCIENCE				342	6156			344	347		10.1126/science.1243167			OCT 18 2013	2013										3430							WOS:000325755100040		
J	Schuller, Jon A.; Barnard, Edward S.; Cai, Wenshan; Jun, Young Chul; White, Justin S.; Brongersma, Mark L.								Plasmonics for extreme light concentration and manipulation								NATURE MATERIALS				9	3			193	204		10.1038/NMAT2630			MAR 2010	2010										2500							WOS:000274700900013		
J	Linic, Suljo; Christopher, Phillip; Ingram, David B.								Plasmonic-metal nanostructures for efficient conversion of solar to chemical energy								NATURE MATERIALS				10	12			911	921		10.1038/NMAT3151			DEC 2011	2011										2399							WOS:000297692900014		
J	Bunzli, JCG; Piguet, C								Taking advantage of luminescent lanthanide ions								CHEMICAL SOCIETY REVIEWS				34	12			1048	1077		10.1039/b406082m			2005	2005										2374							WOS:000233252700006		
J	Binnemans, Koen								Lanthanide-Based Luminescent Hybrid Materials								CHEMICAL REVIEWS				109	9			4283	4374		10.1021/cr8003983			SEP 2009	2009										2168							WOS:000269773600014		
J	Gramotnev, Dmitri K.; Bozhevolnyi, Sergey I.								Plasmonics beyond the diffraction limit								NATURE PHOTONICS				4	2			83	91		10.1038/nphoton.2009.282			FEB 2010	2010										2165							WOS:000275058600013		
J	Alivisatos, P								The use of nanocrystals in biological detection								NATURE BIOTECHNOLOGY				22	1			47	52		10.1038/nbt927			JAN 2004	2004										2104							WOS:000187745400025		
J	Pavesi, L; Dal Negro, L; Mazzoleni, C; Franzo, G; Priolo, F								Optical gain in silicon nanocrystals								NATURE				408	6811			440	444		10.1038/35044012			NOV 23 2000	2000										2067							WOS:000165429800039		
J	Eliseeva, Svetlana V.; Buenzli, Jean-Claude G.								Lanthanide luminescence for functional materials and bio-sciences								CHEMICAL SOCIETY REVIEWS				39	1			189	227		10.1039/b905604c			2010	2010										2023							WOS:000272711300018		
