PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Ji, Liwen; Lin, Zhan; Alcoutlabi, Mataz; Zhang, Xiangwu								Recent developments in nanostructured anode materials for rechargeable lithium-ion batteries								ENERGY & ENVIRONMENTAL SCIENCE				4	8			2682	2699		10.1039/c0ee00699h			AUG 2011	2011										1392							WOS:000293213600009		
J	Wang, Yun; Chen, Ken S.; Mishler, Jeffrey; Cho, Sung Chan; Adroher, Xavier Cordobes								A review of polymer electrolyte membrane fuel cells: Technology, applications, and needs on fundamental research								APPLIED ENERGY				88	4			981	1007		10.1016/j.apenergy.2010.09.030			APR 2011	2011										1388							WOS:000286707300001		
J	Wang, XW; Xu, XF; Choi, SUS								Thermal conductivity of nanoparticle-fluid mixture								JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER				13	4			474	480		10.2514/2.6486			OCT-DEC 1999	1999										1378							WOS:000083444500009		
J	Fan, Feng-Ru; Tian, Zhong-Qun; Wang, Zhong Lin								Flexible triboelectric generator!								NANO ENERGY				1	2			328	334		10.1016/j.nanoen.2012.01.004			MAR 2012	2012										1255							WOS:000318050100016		
J	Ferrari, Andrea C.; Bonaccorso, Francesco; Fal'ko, Vladimir; Novoselov, Konstantin S.; Roche, Stephan; Boggild, Peter; Borini, Stefano; Koppens, Frank H. L.; Palermo, Vincenzo; Pugno, Nicola; Garrido, Jose A.; Sordan, Roman; Bianco, Alberto; Ballerini, Laura; Prato, Maurizio; Lidorikis, Elefterios; Kivioja, Jani; Marinelli, Claudio; Ryhaenen, Tapani; Morpurgo, Alberto; Coleman, Jonathan N.; Nicolosi, Valeria; Colombo, Luigi; Fert, Albert; Garcia-Hernandez, Mar; Bachtold, Adrian; Schneider, Gregory F.; Guinea, Francisco; Dekker, Cees; Barbone, Matteo; Sun, Zhipei; Galiotis, Costas; Grigorenko, Alexander N.; Konstantatos, Gerasimos; Kis, Andras; Katsnelson, Mikhail; Vandersypen, Lieven; Loiseau, Annick; Morandi, Vittorio; Neumaier, Daniel; Treossi, Emanuele; Pellegrini, Vittorio; Polini, Marco; Tredicucci, Alessandro; Williams, Gareth M.; Hong, Byung Hee; Ahn, Jong-Hyun; Kim, Jong Min; Zirath, Herbert; van Wees, Bart J.; van der Zant, Herre; Occhipinti, Luigi; Di Matteo, Andrea; Kinloch, Ian A.; Seyller, Thomas; Quesnel, Etienne; Feng, Xinliang; Teo, Ken; Rupesinghe, Nalin; Hakonen, Pertti; Neil, Simon R. T.; Tannock, Quentin; Loefwander, Tomas; Kinaret, Jari								Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems								NANOSCALE				7	11			4598	4810		10.1039/c4nr01600a			2015	2015										1241							WOS:000351061700001		
J	Li, DY; Wu, YY; Kim, P; Shi, L; Yang, PD; Majumdar, A								Thermal conductivity of individual silicon nanowires								APPLIED PHYSICS LETTERS				83	14			2934	2936		10.1063/1.1616981			OCT 6 2003	2003										1185							WOS:000185664000068		
J	Sootsman, Joseph R.; Chung, Duck Young; Kanatzidis, Mercouri G.								New and Old Concepts in Thermoelectric Materials								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				48	46			8616	8639		10.1002/anie.200900598			2009	2009										1161							WOS:000271969400003		
J	Bavykin, Dmitry V.; Friedrich, Jens M.; Walsh, Frank C.								Protonated titanates and TiO2 nanostructured materials: Synthesis, properties, and applications								ADVANCED MATERIALS				18	21			2807	2824		10.1002/adma.200502696			NOV 3 2006	2006										1058							WOS:000242292800004		
J	Hochbaum, Allon I.; Yang, Peidong								Semiconductor Nanowires for Energy Conversion								CHEMICAL REVIEWS				110	1			527	546		10.1021/cr900075v			JAN 2010	2010										1009							WOS:000274255700017		
J	Kelzenberg, Michael D.; Boettcher, Shannon W.; Petykiewicz, Jan A.; Turner-Evans, Daniel B.; Putnam, Morgan C.; Warren, Emily L.; Spurgeon, Joshua M.; Briggs, Ryan M.; Lewis, Nathan S.; Atwater, Harry A.								Enhanced absorption and carrier collection in Si wire arrays for photovoltaic applications								NATURE MATERIALS				9	3			239	244		10.1038/NMAT2635			MAR 2010	2010										995							WOS:000274700900020		
J	Jang, SP; Choi, SUS								Role of Brownian motion in the enhanced thermal conductivity of nanofluids								APPLIED PHYSICS LETTERS				84	21			4316	4318		10.1063/1.1756684			MAY 24 2004	2004										971							WOS:000221404700060		
J	Yu, W; Choi, SUS								The role of interfacial layers in the enhanced thermal conductivity of nanofluids: A renovated Maxwell model								JOURNAL OF NANOPARTICLE RESEARCH				5	1-2			167	171		10.1023/A:1024438603801			APR 2003	2003										945							WOS:000183704000020		
J	Schelling, PK; Phillpot, SR; Keblinski, P								Comparison of atomic-level simulation methods for computing thermal conductivity								PHYSICAL REVIEW B				65	14					144306	10.1103/PhysRevB.65.144306			APR 1 2002	2002										879							WOS:000174980300055		
J	Zhu, Jia; Yu, Zongfu; Burkhard, George F.; Hsu, Ching-Mei; Connor, Stephen T.; Xu, Yueqin; Wang, Qi; McGehee, Michael; Fan, Shanhui; Cui, Yi								Optical Absorption Enhancement in Amorphous Silicon Nanowire and Nanocone Arrays								NANO LETTERS				9	1			279	282		10.1021/nl802886y			JAN 2009	2009										850							WOS:000262519100052		
J	Vineis, Christopher J.; Shakouri, Ali; Majumdar, Arun; Kanatzidis, Mercouri G.								Nanostructured Thermoelectrics: Big Efficiency Gains from Small Features								ADVANCED MATERIALS				22	36			3970	3980		10.1002/adma.201000839			NOV 22 2010	2010										843							WOS:000283104600001		
J	Garcia-Vidal, F. J.; Martin-Moreno, L.; Ebbesen, T. W.; Kuipers, L.								Light passing through subwavelength apertures								REVIEWS OF MODERN PHYSICS				82	1			729	787		10.1103/RevModPhys.82.729			JAN-MAR 2010	2010										820							WOS:000276184000017		
J	Bubnova, Olga; Khan, Zia Ullah; Malti, Abdellah; Braun, Slawomir; Fahlman, Mats; Berggren, Magnus; Crispin, Xavier								Optimization of the thermoelectric figure of merit in the conducting polymer poly(3,4-ethylenedioxythiophene)								NATURE MATERIALS				10	6			429	433		10.1038/NMAT3012			JUN 2011	2011										808							WOS:000290855100016		
J	Fan, Zhiyong; Razavi, Haleh; Do, Jae-won; Moriwaki, Aimee; Ergen, Onur; Chueh, Yu-Lun; Leu, Paul W.; Ho, Johnny C.; Takahashi, Toshitake; Reichertz, Lothar A.; Neale, Steven; Yu, Kyoungsik; Wu, Ming; Ager, Joel W.; Javey, Ali								Three-dimensional nanopillar-array photovoltaics on low-cost and flexible substrates								NATURE MATERIALS				8	8			648	653		10.1038/NMAT2493			AUG 2009	2009										790							WOS:000268288000017		
J	Liu, Huili; Shi, Xun; Xu, Fangfang; Zhang, Linlin; Zhang, Wenqing; Chen, Lidong; Li, Qiang; Uher, Ctirad; Day, Tristan; Snyder, G. Jeffrey								Copper ion liquid-like thermoelectrics								NATURE MATERIALS				11	5			422	425		10.1038/NMAT3273			MAY 2012	2012										785							WOS:000303108500019		
J	Vetrone, Fiorenzo; Naccache, Rafik; Zamarron, Alicia; Juarranz de la Fuente, Angeles; Sanz-Rodriguez, Francisco; Martinez Maestro, Laura; Martin Rodriguez, Emma; Jaque, Daniel; Garcia Sole, Jose; Capobianco, John A.								Temperature Sensing Using Fluorescent Nanothermometers								ACS NANO				4	6			3254	3258		10.1021/nn100244a			JUN 2010	2010										763							WOS:000278888600040		
J	Wallentin, Jesper; Anttu, Nicklas; Asoli, Damir; Huffman, Maria; Aberg, Ingvar; Magnusson, Martin H.; Siefer, Gerald; Fuss-Kailuweit, Peter; Dimroth, Frank; Witzigmann, Bernd; Xu, H. Q.; Samuelson, Lars; Deppert, Knut; Borgstrom, Magnus T.								InP Nanowire Array Solar Cells Achieving 13.8% Efficiency by Exceeding the Ray Optics Limit								SCIENCE				339	6123			1057	1060		10.1126/science.1230969			MAR 1 2013	2013										748							WOS:000315452000036		
J	Shi, Xun; Yang, Jiong; Salvador, James R.; Chi, Miaofang; Cho, Jung Y.; Wang, Hsin; Bai, Shengqiang; Yang, Jihui; Zhang, Wenqing; Chen, Lidong								Multiple-Filled Skutterudites: High Thermoelectric Figure of Merit through Separately Optimizing Electrical and Thermal Transports								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				133	20			7837	7846		10.1021/ja111199y			MAY 25 2011	2011										719							WOS:000291580400040		
J	Xie, HQ; Wang, JC; Xi, TG; Liu, Y; Ai, F; Wu, QR								Thermal conductivity enhancement of suspensions containing nanosized alumina particles								JOURNAL OF APPLIED PHYSICS				91	7			4568	4572		10.1063/1.1454184			APR 1 2002	2002										672							WOS:000174663900095		
J	Kanatzidis, Mercouri G.								Nanostructured Thermoelectrics: The New Paradigm?								CHEMISTRY OF MATERIALS				22	3			648	659		10.1021/cm902195j			FEB 9 2010	2010										656							WOS:000274089600007		
J	Zhao, Li-Dong; Tan, Gangjian; Hao, Shiqiang; He, Jiaqing; Pei, Yanling; Chi, Hang; Wang, Heng; Gong, Shengkai; Xu, Huibin; Dravid, Vinayak P.; Uher, Ctirad; Snyder, G. Jeffrey; Wolverton, Chris; Kanatzidis, Mercouri G.								Ultrahigh power factor and thermoelectric performance in hole-doped single-crystal SnSe								SCIENCE				351	6269			141	144		10.1126/science.aad3749			JAN 8 2016	2016										651							WOS:000367806500033		
J	Hartland, Gregory V.								Optical Studies of Dynamics in Noble Metal Nanostructures								CHEMICAL REVIEWS				111	6			3858	3887		10.1021/cr1002547			JUN 2011	2011										650							WOS:000291756700006		
J	Fan, HJ; Werner, P; Zacharias, M								Semiconductor nanowires: From self-organization to patterned growth								SMALL				2	6			700	717		10.1002/smll.200500495			JUN 2006	2006										643							WOS:000237474900001		
J	Curtarolo, Stefano; Hart, Gus L. W.; Nardelli, Marco Buongiorno; Mingo, Natalio; Sanvito, Stefano; Levy, Ohad								The high-throughput highway to computational materials design								NATURE MATERIALS				12	3			191	201		10.1038/NMAT3568			MAR 2013	2013										638							WOS:000315707200015		
J	Smith, Ronan J.; King, Paul J.; Lotya, Mustafa; Wirtz, Christian; Khan, Umar; De, Sukanta; O'Neill, Arlene; Duesberg, Georg S.; Grunlan, Jaime C.; Moriarty, Gregory; Chen, Jun; Wang, Jiazhao; Minett, Andrew I.; Nicolosi, Valeria; Coleman, Jonathan N.								Large-Scale Exfoliation of Inorganic Layered Compounds in Aqueous Surfactant Solutions								ADVANCED MATERIALS				23	34			3944	+		10.1002/adma.201102584			SEP 8 2011	2011										637							WOS:000295227600011		
J	Cai, Weiwei; Moore, Arden L.; Zhu, Yanwu; Li, Xuesong; Chen, Shanshan; Shi, Li; Ruoff, Rodney S.								Thermal Transport in Suspended and Supported Monolayer Graphene Grown by Chemical Vapor Deposition								NANO LETTERS				10	5			1645	1651		10.1021/nl9041966			MAY 2010	2010										627							WOS:000277444900021		
J	Chu, Steven; Cui, Yi; Liu, Nian								The path towards sustainable energy								NATURE MATERIALS				16	1			16	22		10.1038/nmat4834			JAN 2017	2017										609							WOS:000391343300010		
J	Li, Nianbei; Ren, Jie; Wang, Lei; Zhang, Gang; Haenggi, Peter; Li, Baowen								Colloquium: Phononics: Manipulating heat flow with electronic analogs and beyond								REVIEWS OF MODERN PHYSICS				84	3			1045	1066		10.1103/RevModPhys.84.1045			JUL 17 2012	2012										609							WOS:000306467400002		
J	Pan, F.; Gao, S.; Chen, C.; Song, C.; Zeng, F.								Recent progress in resistive random access memories: Materials, switching mechanisms, and performance								MATERIALS SCIENCE & ENGINEERING R-REPORTS				83				1	59		10.1016/j.mser.2014.06.002			SEP 2014	2014										608							WOS:000340310200001		
J	Kamat, Prashant V.; Tvrdy, Kevin; Baker, David R.; Radich, James G.								Beyond Photovoltaics: Semiconductor Nanoarchitectures for Liquid-Junction Solar Cells								CHEMICAL REVIEWS				110	11			6664	6688		10.1021/cr100243p			NOV 2010	2010										606							WOS:000284134300007		
J	Das, Sarit Kumar; Choi, Stephen U. S.; Patel, Hrishikesh E.								Heat transfer in Nanofluids - A review								HEAT TRANSFER ENGINEERING				27	10			3	19		10.1080/01457630600904593			DEC 2006	2006										598							WOS:000240750000002		
J	Brites, Carlos D. S.; Lima, Patricia P.; Silva, Nuno J. O.; Millan, Angel; Amaral, Vitor S.; Palacio, Fernando; Carlos, Luis D.								Thermometry at the nanoscale								NANOSCALE				4	16			4799	4829		10.1039/c2nr30663h			2012	2012										595							WOS:000306855500001		
J	Li, Chunyu; Thostenson, Erik T.; Chou, Tsu-Wei								Sensors and actuators based on carbon nanotubes and their composites: A review								COMPOSITES SCIENCE AND TECHNOLOGY				68	6			1227	1249		10.1016/j.compscitech.2008.01.006			MAY 2008	2008										595							WOS:000255797100001		
J	Su, Fabing; Poh, Chee Kok; Chen, Jun Song; Xu, Guangwen; Wang, Dan; Li, Qin; Lin, Jianyi; Lou, Xiong Wen (David)								Nitrogen-containing microporous carbon nanospheres with improved capacitive properties								ENERGY & ENVIRONMENTAL SCIENCE				4	3			717	724		10.1039/c0ee00277a			MAR 2011	2011										591							WOS:000287924700011		
J	Sun, Chang Q.								Size dependence of nanostructures: Impact of bond order deficiency								PROGRESS IN SOLID STATE CHEMISTRY				35	1			1	159		10.1016/j.progsolidstchem.2006.03.001			2007	2007										588							WOS:000243123000001		
J	Kim, W; Zide, J; Gossard, A; Klenov, D; Stemmer, S; Shakouri, A; Majumdar, A								Thermal conductivity reduction and thermoelectric figure of merit increase by embedding nanoparticles in crystalline semiconductors								PHYSICAL REVIEW LETTERS				96	4					045901	10.1103/PhysRevLett.96.045901			FEB 3 2006	2006										584							WOS:000235083600058		
J	Cao, Linyou; White, Justin S.; Park, Joon-Shik; Schuller, Jon A.; Clemens, Bruce M.; Brongersma, Mark L.								Engineering light absorption in semiconductor nanowire devices								NATURE MATERIALS				8	8			643	647		10.1038/NMAT2477			AUG 2009	2009										572							WOS:000268288000016		
J	Jain, I. P.; Lal, Chhagan; Jain, Ankur								Hydrogen storage in Mg: A most promising material								INTERNATIONAL JOURNAL OF HYDROGEN ENERGY				35	10			5133	5144		10.1016/j.ijhydene.2009.08.088			MAY 2010	2010						1st International Conference on Hydrogen Production (ICH2P09)	MAY 03-06, 2009		Univ Ontario, Inst Technol, Oshawa, CANADA	571							WOS:000278418700072		
J	Kim, Sang Il; Lee, Kyu Hyoung; Mun, Hyeon A.; Kim, Hyun Sik; Hwang, Sung Woo; Roh, Jong Wook; Yang, Dae Jin; Shin, Weon Ho; Li, Xiang Shu; Lee, Young Hee; Snyder, G. Jeffrey; Kim, Sung Wng								Dense dislocation arrays embedded in grain boundaries for high-performance bulk thermoelectrics								SCIENCE				348	6230			109	114		10.1126/science.aaa4166			APR 3 2015	2015										558							WOS:000352079500037		
J	Gudbjartsson, Daniel F.; Arnar, David O.; Helgadottir, Anna; Gretarsdottir, Solveig; Holm, Hilma; Sigurdsson, Asgeir; Jonasdottir, Adalbjorg; Baker, Adam; Thorleifsson, Gudmar; Kristjansson, Kristleifur; Palsson, Arnar; Blondal, Thorarinn; Sulem, Patrick; Backman, Valgerdur M.; Hardarson, Gudmundur A.; Palsdottir, Ebba; Helgason, Agnar; Sigurjonsdottir, Runa; Sverrisson, Jon T.; Kostulas, Konstantinos; Ng, Maggie C. Y.; Baum, Larry; So, Wing Yee; Wong, Ka Sing; Chan, Juliana C. N.; Furie, Karen L.; Greenberg, Steven M.; Sale, Michelle; Kelly, Peter; MacRae, Calum A.; Smith, Eric E.; Rosand, Jonathan; Hillert, Jan; Ma, Ronald C. W.; Ellinor, Patrick T.; Thorgeirsson, Gudmundur; Gulcher, Jeffrey R.; Kong, Augustine; Thorsteinsdottir, Unnur; Stefansson, Kari								Variants conferring risk of atrial fibrillation on chromosome 4q25								NATURE				448	7151			353	357		10.1038/nature06007			JUL 19 2007	2007										556							WOS:000248118300058		
J	Biswas, Kanishka; He, Jiaqing; Zhang, Qichun; Wang, Guoyu; Uher, Ctirad; Dravid, Vinayak P.; Kanatzidis, Mercouri G.								Strained endotaxial nanostructures with high thermoelectric figure of merit								NATURE CHEMISTRY				3	2			160	166		10.1038/NCHEM.955			FEB 2011	2011										554							WOS:000286505700014		
J	Li, Shun-Li; Xu, Qiang								Metal-organic frameworks as platforms for clean energy								ENERGY & ENVIRONMENTAL SCIENCE				6	6			1656	1683		10.1039/c3ee40507a			JUN 2013	2013										550							WOS:000319284200001		
J	Zhao, Xin; Sanchez, Beatriz Mendoza; Dobson, Peter J.; Grant, Patrick S.								The role of nanomaterials in redox-based supercapacitors for next generation energy storage devices								NANOSCALE				3	3			839	855		10.1039/c0nr00594k			2011	2011										545							WOS:000288218300005		
J	Pop, Eric								Energy Dissipation and Transport in Nanoscale Devices								NANO RESEARCH				3	3			147	169		10.1007/s12274-010-1019-z			MAR 2010	2010										544							WOS:000275754900001		
J	Li, Wu; Carrete, Jesus; Katcho, Nebil A.; Mingo, Natalio								ShengBTE: A solver of the Boltzmann transport equation for phonons								COMPUTER PHYSICS COMMUNICATIONS				185	6			1747	1758		10.1016/j.cpc.2014.02.015			JUN 2014	2014										540							WOS:000337929400021		
J	Pei, Yanzhong; Wang, Heng; Snyder, G. J.								Band Engineering of Thermoelectric Materials								ADVANCED MATERIALS				24	46			6125	6135		10.1002/adma.201202919			DEC 4 2012	2012										532							WOS:000312130600001		
J	Wang, BX; Zhou, LP; Peng, XF								A fractal model for predicting the effective thermal conductivity of liquid with suspension of nanoparticles								INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER				46	14			2665	2672		10.1016/S0017-9310(03)00016-4			JUL 2003	2003										531							WOS:000183078500015		
J	Gabor, Nathaniel M.; Song, Justin C. W.; Ma, Qiong; Nair, Nityan L.; Taychatanapat, Thiti; Watanabe, Kenji; Taniguchi, Takashi; Levitov, Leonid S.; Jarillo-Herrero, Pablo								Hot Carrier-Assisted Intrinsic Photoresponse in Graphene								SCIENCE				334	6056			648	652		10.1126/science.1211384			NOV 4 2011	2011										526							WOS:000296494700049		
J	Lee, SM; Cahill, DG; Venkatasubramanian, R								Thermal conductivity of Si-Ge superlattices								APPLIED PHYSICS LETTERS				70	22			2957	2959		10.1063/1.118755			JUN 2 1997	1997										525							WOS:A1997XB50100010		
J	Chen, Xiaobo; Li, Can; Graetzel, Michael; Kostecki, Robert; Mao, Samuel S.								Nanomaterials for renewable energy production and storage								CHEMICAL SOCIETY REVIEWS				41	23			7909	7937		10.1039/c2cs35230c			2012	2012										523							WOS:000310682900013		
J	Joulain, K; Mulet, JP; Marquier, F; Carminati, R; Greffet, JJ								Surface electromagnetic waves thermally excited: Radiative heat transfer, coherence properties and Casimir forces revisited in the near field								SURFACE SCIENCE REPORTS				57	3-4			59	112		10.1016/j.surfrep.2004.12.002			MAY 2005	2005										511							WOS:000229169200001		
J	Maldovan, Martin								Sound and heat revolutions in phononics								NATURE				503	7475			209	217		10.1038/nature12608			NOV 14 2013	2013										508							WOS:000326894200041		
J	Wang, Zhong Lin; Wu, Wenzhuo								Nanotechnology-Enabled Energy Harvesting for Self-Powered Micro-/Nanosystems								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				51	47			11700	11721		10.1002/anie.201201656			2012	2012										507							WOS:000311702000007		
J	Yu, Zongfu; Raman, Aaswath; Fan, Shanhui								Fundamental limit of nanophotonic light trapping in solar cells								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				107	41			17491	17496		10.1073/pnas.1008296107			OCT 12 2010	2010										507							WOS:000282809700012		
J	Kovalenko, Maksym V.; Manna, Liberato; Cabot, Andreu; Hens, Zeger; Talapin, Dmitri V.; Kagan, Cherie R.; Klimov, Victor I.; Rogach, Andrey L.; Reiss, Peter; Milliron, Delia J.; Guyot-Sionnnest, Philippe; Konstantatos, Gerasimos; Parak, Wolfgang J.; Hyeon, Taeghwan; Korgel, Brian A.; Murray, Christopher B.; Heiss, Wolfgang								Prospects of Nanoscience with Nanocrystals								ACS NANO				9	2			1012	1057		10.1021/nn506223h			FEB 2015	2015										491							WOS:000349940500003		
J	Spinelli, P.; Verschuuren, M. A.; Polman, A.								Broadband omnidirectional antireflection coating based on subwavelength surface Mie resonators								NATURE COMMUNICATIONS				3						692	10.1038/ncomms1691			FEB 2012	2012										490							WOS:000302060100033		
J	Oh, Jihun; Yuan, Hao-Chih; Branz, Howard M.								An 18.2%-efficient black-silicon solar cell achieved through control of carrier recombination in nanostructures								NATURE NANOTECHNOLOGY				7	11			743	748		10.1038/NNANO.2012.166			NOV 2012	2012										489							WOS:000310791900015		
J	Georgakilas, Vasilios; Perman, Jason A.; Tucek, Jiri; Zboril, Radek								Broad Family of Carbon Nanoallotropes: Classification, Chemistry, and Applications of Fullerenes, Carbon Dots, Nanotubes, Graphene, Nanodiamonds, and Combined Superstructures								CHEMICAL REVIEWS				115	11			4744	4822		10.1021/cr500304f			JUN 10 2015	2015										487							WOS:000356316300005		
J	Biagioni, Paolo; Huang, Jer-Shing; Hecht, Bert								Nanoantennas for visible and infrared radiation								REPORTS ON PROGRESS IN PHYSICS				75	2					024402	10.1088/0034-4885/75/2/024402			FEB 2012	2012										486							WOS:000300011000003		
J	Lewis, Nathan S.								Research opportunities to advance solar energy utilization								SCIENCE				351	6271					aad1920	10.1126/science.aad1920			JAN 22 2016	2016										481							WOS:000368440500031		
