PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Lopez-Sanchez, Oriol; Lembke, Dominik; Kayci, Metin; Radenovic, Aleksandra; Kis, Andras								Ultrasensitive photodetectors based on monolayer MoS2								NATURE NANOTECHNOLOGY				8	7			497	501		10.1038/NNANO.2013.100			JUL 2013	2013										2215							WOS:000321248700012		
J	Gramotnev, Dmitri K.; Bozhevolnyi, Sergey I.								Plasmonics beyond the diffraction limit								NATURE PHOTONICS				4	2			83	91		10.1038/nphoton.2009.282			FEB 2010	2010										2165							WOS:000275058600013		
J	Novotny, Lukas; van Hulst, Niek								Antennas for light								NATURE PHOTONICS				5	2			83	90		10.1038/NPHOTON.2010.237			FEB 2011	2011										1612							WOS:000286809900010		
J	Grigorenko, A. N.; Polini, M.; Novoselov, K. S.								Graphene plasmonics								NATURE PHOTONICS				6	11			749	758		10.1038/NPHOTON.2012.262			NOV 2012	2012										1563							WOS:000310848300014		
J	Rycenga, Matthew; Cobley, Claire M.; Zeng, Jie; Li, Weiyang; Moran, Christine H.; Zhang, Qiang; Qin, Dong; Xia, Younan								Controlling the Synthesis and Assembly of Silver Nanostructures for Plasmonic Applications								CHEMICAL REVIEWS				111	6			3669	3712		10.1021/cr100275d			JUN 2011	2011										1528							WOS:000291756700002		
J	Hanson, R.; Kouwenhoven, L. P.; Petta, J. R.; Tarucha, S.; Vandersypen, L. M. K.								Spins in few-electron quantum dots								REVIEWS OF MODERN PHYSICS				79	4			1217	1265		10.1103/RevModPhys.79.1217			OCT-DEC 2007	2007										1521							WOS:000251107800003		
J	Bonaccorso, Francesco; Colombo, Luigi; Yu, Guihua; Stoller, Meryl; Tozzini, Valentina; Ferrari, Andrea C.; Ruoff, Rodney S.; Pellegrini, Vittorio								Graphene, related two-dimensional crystals, and hybrid systems for energy conversion and storage								SCIENCE				347	6217					UNSP 1246501	10.1126/science.1246501			JAN 2 2015	2015										1451							WOS:000347102300040		
J	Novoselov, K. S.; Mishchenko, A.; Carvalho, A.; Castro Neto, A. H.								2D materials and van der Waals heterostructures								SCIENCE				353	6298					aac9439	10.1126/science.aac9439			JUL 29 2016	2016										1188							WOS:000380583600031		
J	Jariwala, Deep; Sangwan, Vinod K.; Lauhon, Lincoln J.; Marks, Tobin J.; Hersam, Mark C.								Emerging Device Applications for Semiconducting Two-Dimensional Transition Metal Dichalcogenides								ACS NANO				8	2			1102	1120		10.1021/nn500064s			FEB 2014	2014										1187							WOS:000332059200004		
J	Bao, Qiaoliang; Loh, Kian Ping								Graphene Photonics, Plasmonics, and Broadband Optoelectronic Devices								ACS NANO				6	5			3677	3694		10.1021/nn300989g			MAY 2012	2012										1079							WOS:000304231700006		
J	Tan, Chaoliang; Cao, Xiehong; Wu, Xue-Jun; He, Qiyuan; Yang, Jian; Zhang, Xiao; Chen, Junze; Zhao, Wei; Han, Shikui; Nam, Gwang-Hyeon; Sindoro, Melinda; Zhang, Hua								Recent Advances in Ultrathin Two-Dimensional Nanomaterials								CHEMICAL REVIEWS				117	9			6225	6331		10.1021/acs.chemrev.6b00558			MAY 10 2017	2017										985							WOS:000401307500004		
J	Brongersma, Mark L.; Halas, Naomi J.; Nordlander, Peter								Plasmon-induced hot carrier science and technology								NATURE NANOTECHNOLOGY				10	1			25	34		10.1038/NNANO.2014.311			JAN 2015	2015										955							WOS:000347405800015		
J	Xia, Fengnian; Wang, Han; Xiao, Di; Dubey, Madan; Ramasubramaniam, Ashwin								Two-dimensional material nanophotonics								NATURE PHOTONICS				8	12			899	907		10.1038/NPHOTON.2010.271			DEC 2014	2014										935							WOS:000345818600008		
J	Watts, Claire M.; Liu, Xianliang; Padilla, Willie J.								Metamaterial Electromagnetic Wave Absorbers								ADVANCED MATERIALS				24	23			OP98	OP120		10.1002/adma.201200674			JUN 19 2012	2012										876							WOS:000305121100002		
J	Naik, Gururaj V.; Shalaev, Vladimir M.; Boltasseva, Alexandra								Alternative Plasmonic Materials: Beyond Gold and Silver								ADVANCED MATERIALS				25	24			3264	3294		10.1002/adma.201205076			JUN 25 2013	2013										854							WOS:000320732000001		
J	Aieta, Francesco; Genevet, Patrice; Kats, Mikhail A.; Yu, Nanfang; Blanchard, Romain; Gahurro, Zeno; Capasso, Federico								Aberration-Free Ultrathin Flat Lenses and Axicons at Telecom Wavelengths Based on Plasmonic Metasurfaces								NANO LETTERS				12	9			4932	4936		10.1021/nl302516v			SEP 2012	2012										826							WOS:000308576000085		
J	Anasori, Babak; Lukatskaya, Maria R.; Gogotsi, Yury								2D metal carbides and nitrides (MXenes) for energy storage								NATURE REVIEWS MATERIALS				2	2					16098	10.1038/natrevmats.2016.98			FEB 2017	2017										813							WOS:000397042600004		
J	Mak, Kin Fai; Shan, Jie								Photonics and optoelectronics of 2D semiconductor transition metal dichalcogenides								NATURE PHOTONICS				10	4			216	226		10.1038/NPHOTON.2015.282			APR 2016	2016										772							WOS:000372978900009		
J	Konstantatos, Gerasimos; Sargent, Edward H.								Nanostructured materials for photon detection								NATURE NANOTECHNOLOGY				5	6			391	400		10.1038/nnano.2010.78			JUN 2010	2010										765							WOS:000279106500009		
J	Gurudev Dutt, M. V.; Childress, L.; Jiang, L.; Togan, E.; Maze, J.; Jelezko, F.; Zibrov, A. S.; Hemmer, P. R.; Lukin, M. D.								Quantum register based on individual electronic and nuclear spin qubits in diamond								SCIENCE				316	5829			1312	1316		10.1126/science.1139831			JUN 1 2007	2007										731							WOS:000246885600043		
J	Childress, L.; Dutt, M. V. Gurudev; Taylor, J. M.; Zibrov, A. S.; Jelezko, F.; Wrachtrup, J.; Hemmer, P. R.; Lukin, M. D.								Coherent dynamics of coupled electron and nuclear spin qubits in diamond								SCIENCE				314	5797			281	285		10.1126/science.1131871			OCT 13 2006	2006										721							WOS:000241194100036		
J	Yan, Hugen; Li, Xuesong; Chandra, Bhupesh; Tulevski, George; Wu, Yanqing; Freitag, Marcus; Zhu, Wenjuan; Avouris, Phaedon; Xia, Fengnian								Tunable infrared plasmonic devices using graphene/insulator stacks								NATURE NANOTECHNOLOGY				7	5			330	334		10.1038/NNANO.2012.59			MAY 2012	2012										718							WOS:000303884800013		
J	Roy, Kallol; Padmanabhan, Medini; Goswami, Srijit; Sai, T. Phanindra; Ramalingam, Gopalakrishnan; Raghavan, Srinivasan; Ghosh, Arindam								Graphene-MoS2 hybrid structures for multifunctional photoresponsive memory devices								NATURE NANOTECHNOLOGY				8	11			826	830		10.1038/NNANO.2013.206			NOV 2013	2013										706							WOS:000326927200016		
