PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6922							WOS:000310791900008		
J	Novoselov, K. S.; Fal'ko, V. I.; Colombo, L.; Gellert, P. R.; Schwab, M. G.; Kim, K.								A roadmap for graphene								NATURE				490	7419			192	200		10.1038/nature11458			OCT 11 2012	2012										4562							WOS:000309733300037		
J	Ferrari, Andrea C.; Basko, Denis M.								Raman spectroscopy as a versatile tool for studying the properties of graphene								NATURE NANOTECHNOLOGY				8	4			235	246		10.1038/nnano.2013.46			APR 2013	2013										2626							WOS:000317046800008		
J	Georgakilas, Vasilios; Otyepka, Michal; Bourlinos, Athanasios B.; Chandra, Vimlesh; Kim, Namdong; Kemp, K. Christian; Hobza, Pavel; Zboril, Radek; Kim, Kwang S.								Functionalization of Graphene: Covalent and Non-Covalent Approaches, Derivatives and Applications								CHEMICAL REVIEWS				112	11			6156	6214		10.1021/cr3000412			NOV 2012	2012										2019							WOS:000311239600017		
J	Xu, Yuxi; Sheng, Kaixuan; Li, Chun; Shi, Gaoquan								Self-Assembled Graphene Hydrogel via a One-Step Hydrothermal Process								ACS NANO				4	7			4324	4330		10.1021/nn101187z			JUL 2010	2010										1996							WOS:000280364800094		
J	Singh, Virendra; Joung, Daeha; Zhai, Lei; Das, Soumen; Khondaker, Saiful I.; Seal, Sudipta								Graphene based materials: Past, present and future								PROGRESS IN MATERIALS SCIENCE				56	8			1178	1271		10.1016/j.pmatsci.2011.03.003			OCT 2011	2011										1928							WOS:000292470300002		
J	Liu, Ming; Yin, Xiaobo; Ulin-Avila, Erick; Geng, Baisong; Zentgraf, Thomas; Ju, Long; Wang, Feng; Zhang, Xiang								A graphene-based broadband optical modulator								NATURE				474	7349			64	67		10.1038/nature10067			JUN 2 2011	2011										1720							WOS:000291156700037		
J	Nicolosi, Valeria; Chhowalla, Manish; Kanatzidis, Mercouri G.; Strano, Michael S.; Coleman, Jonathan N.								Liquid Exfoliation of Layered Materials								SCIENCE				340	6139			1420	+	1226419	10.1126/science.1226419			JUN 21 2013	2013										1601							WOS:000320647000033		
J	Grigorenko, A. N.; Polini, M.; Novoselov, K. S.								Graphene plasmonics								NATURE PHOTONICS				6	11			749	758		10.1038/NPHOTON.2012.262			NOV 2012	2012										1563							WOS:000310848300014		
J	Xia, Fengnian; Wang, Han; Jia, Yichen								Rediscovering black phosphorus as an anisotropic layered material for optoelectronics and electronics								NATURE COMMUNICATIONS				5						4458	10.1038/ncomms5458			JUL 2014	2014										1540							WOS:000340623400003		
J	Koppens, Frank H. L.; Chang, Darrick E.; Javier Garcia de Abajo, F.								Graphene Plasmonics: A Platform for Strong Light-Matter Interactions								NANO LETTERS				11	8			3370	3377		10.1021/nl201771h			AUG 2011	2011										1467							WOS:000293665600054		
J	Bonaccorso, Francesco; Colombo, Luigi; Yu, Guihua; Stoller, Meryl; Tozzini, Valentina; Ferrari, Andrea C.; Ruoff, Rodney S.; Pellegrini, Vittorio								Graphene, related two-dimensional crystals, and hybrid systems for energy conversion and storage								SCIENCE				347	6217					UNSP 1246501	10.1126/science.1246501			JAN 2 2015	2015										1452							WOS:000347102300040		
J	Bao, Qiaoliang; Zhang, Han; Wang, Yu; Ni, Zhenhua; Yan, Yongli; Shen, Ze Xiang; Loh, Kian Ping; Tang, Ding Yuan								Atomic-Layer Graphene as a Saturable Absorber for Ultrafast Pulsed Lasers								ADVANCED FUNCTIONAL MATERIALS				19	19			3077	3083		10.1002/adfm.200901007			OCT 9 2009	2009										1350							WOS:000271132700007		
J	Sun, Yiqing; Wu, Qiong; Shi, Gaoquan								Graphene based new energy materials								ENERGY & ENVIRONMENTAL SCIENCE				4	4			1113	1132		10.1039/c0ee00683a			APR 2011	2011										1316							WOS:000289001400003		
J	Koppens, F. H. L.; Mueller, T.; Avouris, Ph.; Ferrari, A. C.; Vitiello, M. S.; Polini, M.								Photodetectors based on graphene, other two-dimensional materials and hybrid systems								NATURE NANOTECHNOLOGY				9	10			780	793		10.1038/NNANO.2014.215			OCT 2014	2014										1255							WOS:000343617200018		
J	Novoselov, K. S.; Mishchenko, A.; Carvalho, A.; Castro Neto, A. H.								2D materials and van der Waals heterostructures								SCIENCE				353	6298					aac9439	10.1126/science.aac9439			JUL 29 2016	2016										1190							WOS:000380583600031		
J	Wu, Zhong-Shuai; Zhou, Guangmin; Yin, Li-Chang; Ren, Wencai; Li, Feng; Cheng, Hui-Ming								Graphene/metal oxide composite electrode materials for energy storage								NANO ENERGY				1	1			107	131		10.1016/j.nanoen.2011.11.001			JAN 2012	2012										1102							WOS:000318050000011		
J	Bao, Qiaoliang; Loh, Kian Ping								Graphene Photonics, Plasmonics, and Broadband Optoelectronic Devices								ACS NANO				6	5			3677	3694		10.1021/nn300989g			MAY 2012	2012										1079							WOS:000304231700006		
J	Fiori, Gianluca; Bonaccorso, Francesco; Iannaccone, Giuseppe; Palacios, Tomas; Neumaier, Daniel; Seabaugh, Alan; Banerjee, Sanjay K.; Colombo, Luigi								Electronics based on two-dimensional materials								NATURE NANOTECHNOLOGY				9	10			768	779		10.1038/NNANO.2014.207			OCT 2014	2014										1075							WOS:000343617200017		
J	Konstantatos, Gerasimos; Badioli, Michela; Gaudreau, Louis; Osmond, Johann; Bernechea, Maria; Garcia de Arquer, F. Pelayo; Gatti, Fabio; Koppens, Frank H. L.								Hybrid graphene-quantum dot phototransistors with ultrahigh gain								NATURE NANOTECHNOLOGY				7	6			363	368		10.1038/NNANO.2012.60			JUN 2012	2012										1045							WOS:000305008200008		
J	Tan, Chaoliang; Cao, Xiehong; Wu, Xue-Jun; He, Qiyuan; Yang, Jian; Zhang, Xiao; Chen, Junze; Zhao, Wei; Han, Shikui; Nam, Gwang-Hyeon; Sindoro, Melinda; Zhang, Hua								Recent Advances in Ultrathin Two-Dimensional Nanomaterials								CHEMICAL REVIEWS				117	9			6225	6331		10.1021/acs.chemrev.6b00558			MAY 10 2017	2017										987							WOS:000401307500004		
J	Loh, Kian Ping; Bao, Qiaoliang; Ang, Priscilla Kailian; Yang, Jiaxiang								The chemistry of graphene								JOURNAL OF MATERIALS CHEMISTRY				20	12			2277	2289		10.1039/b920539j			2010	2010										978							WOS:000275380000002		
J	Ellmer, Klaus								Past achievements and future challenges in the development of optically transparent electrodes								NATURE PHOTONICS				6	12			808	816		10.1038/NPHOTON.2012.282			DEC 2012	2012										972							WOS:000311892000008		
J	Lee, Chul-Ho; Lee, Gwan-Hyoung; van der Zande, Arend M.; Chen, Wenchao; Li, Yilei; Han, Minyong; Cui, Xu; Arefe, Ghidewon; Nuckolls, Colin; Heinz, Tony F.; Guo, Jing; Hone, James; Kim, Philip								Atomically thin p-n junctions with van der Waals heterointerfaces								NATURE NANOTECHNOLOGY				9	9			676	681		10.1038/NNANO.2014.150			SEP 2014	2014										949							WOS:000341814400009		
J	Xia, Fengnian; Wang, Han; Xiao, Di; Dubey, Madan; Ramasubramaniam, Ashwin								Two-dimensional material nanophotonics								NATURE PHOTONICS				8	12			899	907		10.1038/NPHOTON.2010.271			DEC 2014	2014										936							WOS:000345818600008		
