PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zutic, I; Fabian, J; Das Sarma, S								Spintronics: Fundamentals and applications								REVIEWS OF MODERN PHYSICS				76	2			323	410		10.1103/RevModPhys.76.323			APR 2004	2004										6924							WOS:000222471500001		
J	Imada, M; Fujimori, A; Tokura, Y								Metal-insulator transitions								REVIEWS OF MODERN PHYSICS				70	4			1039	1263		10.1103/RevModPhys.70.1039			OCT 1998	1998										4578							WOS:000077004600001		
J	BLOCHL, PE; JEPSEN, O; ANDERSEN, OK								IMPROVED TETRAHEDRON METHOD FOR BRILLOUIN-ZONE INTEGRATIONS								PHYSICAL REVIEW B				49	23			16223	16233		10.1103/PhysRevB.49.16223			JUN 15 1994	1994										4111							WOS:A1994NT52500014		
J	Anisimov, VI; Aryasetiawan, F; Lichtenstein, AI								First-principles calculations of the electronic structure and spectra of strongly correlated systems: The LDA+U method								JOURNAL OF PHYSICS-CONDENSED MATTER				9	4			767	808		10.1088/0953-8984/9/4/002			JAN 27 1997	1997										2501							WOS:A1997WG36100002		
J	Damascelli, A; Hussain, Z; Shen, ZX								Angle-resolved photoemission studies of the cuprate superconductors								REVIEWS OF MODERN PHYSICS				75	2			473	541		10.1103/RevModPhys.75.473			APR 2003	2003										2258							WOS:000182718200004		
J	Balents, Leon								Spin liquids in frustrated magnets								NATURE				464	7286			199	208		10.1038/nature08917			MAR 11 2010	2010										1707							WOS:000275366100033		
J	Madsen, Georg K. H.; Singh, David J.								BoltzTraP. A code for calculating band-structure dependent quantities								COMPUTER PHYSICS COMMUNICATIONS				175	1			67	71		10.1016/j.cpc.2006.03.007			JUL 1 2006	2006										1610							WOS:000238636100008		
J	Cococcioni, M; de Gironcoli, S								Linear response approach to the calculation of the effective interaction parameters in the LDA+U method								PHYSICAL REVIEW B				71	3					035105	10.1103/PhysRevB.71.035105			JAN 2005	2005										1421							WOS:000226735900036		
J	Buzdin, AI								Proximity effects in superconductor-ferromagnet heterostructures								REVIEWS OF MODERN PHYSICS				77	3			935	976		10.1103/RevModPhys.77.935			JUL 2005	2005										1401							WOS:000232443800007		
J	Mackenzie, AP; Maeno, Y								The superconductivity of Sr2RuO4 and the physics of spin-triplet pairing								REVIEWS OF MODERN PHYSICS				75	2			657	712		10.1103/RevModPhys.75.657			APR 2003	2003										1311							WOS:000182718200008		
J	Kotliar, G.; Savrasov, S. Y.; Haule, K.; Oudovenko, V. S.; Parcollet, O.; Marianetti, C. A.								Electronic structure calculations with dynamical mean-field theory								REVIEWS OF MODERN PHYSICS				78	3			865	951		10.1103/RevModPhys.78.865			JUL-SEP 2006	2006										1283							WOS:000240875200005		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1233							WOS:000282683200001		
J	Galanakis, I; Dederichs, PH; Papanikolaou, N								Slater-Pauling behavior and origin of the half-metallicity of the full-Heusler alloys								PHYSICAL REVIEW B				66	17					174429	10.1103/PhysRevB.66.174429			NOV 1 2002	2002										1179							WOS:000179611700073		
J	Paglione, Johnpierre; Greene, Richard L.								High-temperature superconductivity in iron-based materials								NATURE PHYSICS				6	9			645	658		10.1038/NPHYS1759			SEP 10 2010	2010										960							WOS:000281540200011		
J	Singh, D. J.; Du, M. -H.								Density functional study of LaFeAsO(1-x)F(x): A low carrier density superconductor near itinerant magnetism								PHYSICAL REVIEW LETTERS				100	23					237003	10.1103/PhysRevLett.100.237003			JUN 13 2008	2008										945							WOS:000256708100065		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										941							WOS:000298133800001		
J	Sefat, Athena S.; Jin, Rongying; McGuire, Michael A.; Sales, Brian C.; Singh, David J.; Mandrus, David								Superconductivity at 22 K in Co-doped BaFe(2)As(2) crystals								PHYSICAL REVIEW LETTERS				101	11					117004	10.1103/PhysRevLett.101.117004			SEP 12 2008	2008										864							WOS:000259188700054		
J	Guo, Jiangang; Jin, Shifeng; Wang, Gang; Wang, Shunchong; Zhu, Kaixing; Zhou, Tingting; He, Meng; Chen, Xiaolong								Superconductivity in the iron selenide KxFe2Se2 (0 <= x <= 1.0)								PHYSICAL REVIEW B				82	18					180520	10.1103/PhysRevB.82.180520			NOV 29 2010	2010										842							WOS:000291462500002		
J	UCHIDA, S; IDO, T; TAKAGI, H; ARIMA, T; TOKURA, Y; TAJIMA, S								OPTICAL-SPECTRA OF LA2-XSRXCUO4 - EFFECT OF CARRIER DOPING ON THE ELECTRONIC-STRUCTURE OF THE CUO2 PLANE								PHYSICAL REVIEW B				43	10			7942	7954		10.1103/PhysRevB.43.7942			APR 1 1991	1991										822							WOS:A1991FE54900064		
J	Graf, Tanja; Felser, Claudia; Parkin, Stuart S. P.								Simple rules for the understanding of Heusler compounds								PROGRESS IN SOLID STATE CHEMISTRY				39	1			1	50		10.1016/j.progsolidstchem.2011.02.001			2011	2011										821							WOS:000291291900001		
J	Gunnarsson, O								Superconductivity in fullerides								REVIEWS OF MODERN PHYSICS				69	2			575	606		10.1103/RevModPhys.69.575			APR 1997	1997										803							WOS:A1997WU34500006		
J	Marzari, Nicola; Mostofi, Arash A.; Yates, Jonathan R.; Souza, Ivo; Vanderbilt, David								Maximally localized Wannier functions: Theory and applications								REVIEWS OF MODERN PHYSICS				84	4						10.1103/RevModPhys.84.1419			OCT 10 2012	2012										782							WOS:000309659400001		
