PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										14152							WOS:000264764600004		
J	Geim, A. K.								Graphene: Status and Prospects								SCIENCE				324	5934			1530	1534		10.1126/science.1158877			JUN 19 2009	2009										8176							WOS:000267130600034		
J	Radisavljevic, B.; Radenovic, A.; Brivio, J.; Giacometti, V.; Kis, A.								Single-layer MoS2 transistors								NATURE NANOTECHNOLOGY				6	3			147	150		10.1038/NNANO.2010.279			MAR 2011	2011										7394							WOS:000288003900006		
J	Kim, Keun Soo; Zhao, Yue; Jang, Houk; Lee, Sang Yoon; Kim, Jong Min; Kim, Kwang S.; Ahn, Jong-Hyun; Kim, Philip; Choi, Jae-Young; Hong, Byung Hee								Large-scale pattern growth of graphene films for stretchable transparent electrodes								NATURE				457	7230			706	710		10.1038/nature07719			FEB 5 2009	2009										7055							WOS:000263064700037		
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6922							WOS:000310791900008		
J	Zhu, Yanwu; Murali, Shanthi; Cai, Weiwei; Li, Xuesong; Suk, Ji Won; Potts, Jeffrey R.; Ruoff, Rodney S.								Graphene and Graphene Oxide: Synthesis, Properties, and Applications								ADVANCED MATERIALS				22	35			3906	3924		10.1002/adma.201001068			SEP 15 2010	2010										5279							WOS:000282910100001		
J	Novoselov, K. S.; Fal'ko, V. I.; Colombo, L.; Gellert, P. R.; Schwab, M. G.; Kim, K.								A roadmap for graphene								NATURE				490	7419			192	200		10.1038/nature11458			OCT 11 2012	2012										4562							WOS:000309733300037		
J	Bolotin, K. I.; Sikes, K. J.; Jiang, Z.; Klima, M.; Fudenberg, G.; Hone, J.; Kim, P.; Stormer, H. L.								Ultrahigh electron mobility in suspended graphene								SOLID STATE COMMUNICATIONS				146	9-10			351	355		10.1016/j.ssc.2008.02.024			JUN 2008	2008										4490							WOS:000256641500001		
J	Bonaccorso, F.; Sun, Z.; Hasan, T.; Ferrari, A. C.								Graphene photonics and optoelectronics								NATURE PHOTONICS				4	9			611	622		10.1038/NPHOTON.2010.186			SEP 2010	2010										4436							WOS:000281467900015		
J	Chhowalla, Manish; Shin, Hyeon Suk; Eda, Goki; Li, Lain-Jong; Loh, Kian Ping; Zhang, Hua								The chemistry of two-dimensional layered transition metal dichalcogenide nanosheets								NATURE CHEMISTRY				5	4			263	275		10.1038/NCHEM.1589			APR 2013	2013										4132							WOS:000317182900009		
