PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Geim, A. K.; Novoselov, K. S.								The rise of graphene								NATURE MATERIALS				6	3			183	191		10.1038/nmat1849			MAR 2007	2007										25192							WOS:000244570700015		
J	Castro Neto, A. H.; Guinea, F.; Peres, N. M. R.; Novoselov, K. S.; Geim, A. K.								The electronic properties of graphene								REVIEWS OF MODERN PHYSICS				81	1			109	162		10.1103/RevModPhys.81.109			JAN-MAR 2009	2009										14152							WOS:000264764600004		
J	Lee, Changgu; Wei, Xiaoding; Kysar, Jeffrey W.; Hone, James								Measurement of the elastic properties and intrinsic strength of monolayer graphene								SCIENCE				321	5887			385	388		10.1126/science.1157996			JUL 18 2008	2008										10772							WOS:000257713900044		
J	Geim, A. K.								Graphene: Status and Prospects								SCIENCE				324	5934			1530	1534		10.1126/science.1158877			JUN 19 2009	2009										8176							WOS:000267130600034		
J	Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning								Superior thermal conductivity of single-layer graphene								NANO LETTERS				8	3			902	907		10.1021/nl0731872			MAR 2008	2008										7253							WOS:000253947400025		
J	Li, Xuesong; Cai, Weiwei; An, Jinho; Kim, Seyoung; Nah, Junghyo; Yang, Dongxing; Piner, Richard; Velamakanni, Aruna; Jung, Inhwa; Tutuc, Emanuel; Banerjee, Sanjay K.; Colombo, Luigi; Ruoff, Rodney S.								Large-Area Synthesis of High-Quality and Uniform Graphene Films on Copper Foils								SCIENCE				324	5932			1312	1314		10.1126/science.1171245			JUN 5 2009	2009										7175							WOS:000266635100041		
J	Kim, Keun Soo; Zhao, Yue; Jang, Houk; Lee, Sang Yoon; Kim, Jong Min; Kim, Kwang S.; Ahn, Jong-Hyun; Kim, Philip; Choi, Jae-Young; Hong, Byung Hee								Large-scale pattern growth of graphene films for stretchable transparent electrodes								NATURE				457	7230			706	710		10.1038/nature07719			FEB 5 2009	2009										7055							WOS:000263064700037		
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6922							WOS:000310791900008		
J	Marcano, Daniela C.; Kosynkin, Dmitry V.; Berlin, Jacob M.; Sinitskii, Alexander; Sun, Zhengzong; Slesarev, Alexander; Alemany, Lawrence B.; Lu, Wei; Tour, James M.								Improved Synthesis of Graphene Oxide								ACS NANO				4	8			4806	4814		10.1021/nn1006368			AUG 2010	2010										5475							WOS:000281052700057		
J	Zhu, Yanwu; Murali, Shanthi; Cai, Weiwei; Li, Xuesong; Suk, Ji Won; Potts, Jeffrey R.; Ruoff, Rodney S.								Graphene and Graphene Oxide: Synthesis, Properties, and Applications								ADVANCED MATERIALS				22	35			3906	3924		10.1002/adma.201001068			SEP 15 2010	2010										5279							WOS:000282910100001		
J	Bae, Sukang; Kim, Hyeongkeun; Lee, Youngbin; Xu, Xiangfan; Park, Jae-Sung; Zheng, Yi; Balakrishnan, Jayakumar; Lei, Tian; Kim, Hye Ri; Song, Young Il; Kim, Young-Jin; Kim, Kwang S.; Ozyilmaz, Barbaros; Ahn, Jong-Hyun; Hong, Byung Hee; Iijima, Sumio								Roll-to-roll production of 30-inch graphene films for transparent electrodes								NATURE NANOTECHNOLOGY				5	8			574	578		10.1038/NNANO.2010.132			AUG 2010	2010										5127							WOS:000280631900009		
J	Schedin, F.; Geim, A. K.; Morozov, S. V.; Hill, E. W.; Blake, P.; Katsnelson, M. I.; Novoselov, K. S.								Detection of individual gas molecules adsorbed on graphene								NATURE MATERIALS				6	9			652	655		10.1038/nmat1967			SEP 2007	2007										4956							WOS:000249236200017		
J	Bolotin, K. I.; Sikes, K. J.; Jiang, Z.; Klima, M.; Fudenberg, G.; Hone, J.; Kim, P.; Stormer, H. L.								Ultrahigh electron mobility in suspended graphene								SOLID STATE COMMUNICATIONS				146	9-10			351	355		10.1016/j.ssc.2008.02.024			JUN 2008	2008										4490							WOS:000256641500001		
J	Bonaccorso, F.; Sun, Z.; Hasan, T.; Ferrari, A. C.								Graphene photonics and optoelectronics								NATURE PHOTONICS				4	9			611	622		10.1038/NPHOTON.2010.186			SEP 2010	2010										4436							WOS:000281467900015		
J	Chhowalla, Manish; Shin, Hyeon Suk; Eda, Goki; Li, Lain-Jong; Loh, Kian Ping; Zhang, Hua								The chemistry of two-dimensional layered transition metal dichalcogenide nanosheets								NATURE CHEMISTRY				5	4			263	275		10.1038/NCHEM.1589			APR 2013	2013										4132							WOS:000317182900009		
J	Reina, Alfonso; Jia, Xiaoting; Ho, John; Nezich, Daniel; Son, Hyungbin; Bulovic, Vladimir; Dresselhaus, Mildred S.; Kong, Jing								Large Area, Few-Layer Graphene Films on Arbitrary Substrates by Chemical Vapor Deposition								NANO LETTERS				9	1			30	35		10.1021/nl801827v			JAN 2009	2009										3898							WOS:000262519100006		
J	Ferrari, Andrea C.								Raman spectroscopy of graphene and graphite: Disorder, electron-phonon coupling, doping and nonadiabatic effects								SOLID STATE COMMUNICATIONS				143	1-2			47	57		10.1016/j.ssc.2007.03.052			JUL 2007	2007										3843							WOS:000247947100009		
J	Allen, Matthew J.; Tung, Vincent C.; Kaner, Richard B.								Honeycomb Carbon: A Review of Graphene								CHEMICAL REVIEWS				110	1			132	145		10.1021/cr900070d			JAN 2010	2010										3834							WOS:000274255700006		
J	Hernandez, Yenny; Nicolosi, Valeria; Lotya, Mustafa; Blighe, Fiona M.; Sun, Zhenyu; De, Sukanta; McGovern, I. T.; Holland, Brendan; Byrne, Michele; Gun'ko, Yurii K.; Boland, John J.; Niraj, Peter; Duesberg, Georg; Krishnamurthy, Satheesh; Goodhue, Robbie; Hutchison, John; Scardaci, Vittorio; Ferrari, Andrea C.; Coleman, Jonathan N.								High-yield production of graphene by liquid-phase exfoliation of graphite								NATURE NANOTECHNOLOGY				3	9			563	568		10.1038/nnano.2008.215			SEP 2008	2008										3549							WOS:000259013100015		
J	Eda, Goki; Fanchini, Giovanni; Chhowalla, Manish								Large-area ultrathin films of reduced graphene oxide as a transparent and flexible electronic material								NATURE NANOTECHNOLOGY				3	5			270	274		10.1038/nnano.2008.83			MAY 2008	2008										3089							WOS:000255756200011		
