PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Giannozzi, Paolo; Baroni, Stefano; Bonini, Nicola; Calandra, Matteo; Car, Roberto; Cavazzoni, Carlo; Ceresoli, Davide; Chiarotti, Guido L.; Cococcioni, Matteo; Dabo, Ismaila; Dal Corso, Andrea; de Gironcoli, Stefano; Fabris, Stefano; Fratesi, Guido; Gebauer, Ralph; Gerstmann, Uwe; Gougoussis, Christos; Kokalj, Anton; Lazzeri, Michele; Martin-Samos, Layla; Marzari, Nicola; Mauri, Francesco; Mazzarello, Riccardo; Paolini, Stefano; Pasquarello, Alfredo; Paulatto, Lorenzo; Sbraccia, Carlo; Scandolo, Sandro; Sclauzero, Gabriele; Seitsonen, Ari P.; Smogunov, Alexander; Umari, Paolo; Wentzcovitch, Renata M.								QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials								JOURNAL OF PHYSICS-CONDENSED MATTER				21	39					395502	10.1088/0953-8984/21/39/395502			SEP 30 2009	2009										10461							WOS:000269626500008		
J	Ferrari, AC; Robertson, J								Interpretation of Raman spectra of disordered and amorphous carbon								PHYSICAL REVIEW B				61	20			14095	14107		10.1103/PhysRevB.61.14095			MAY 15 2000	2000										8128							WOS:000087284900099		
J	Henkelman, G; Uberuaga, BP; Jonsson, H								A climbing image nudged elastic band method for finding saddle points and minimum energy paths								JOURNAL OF CHEMICAL PHYSICS				113	22			9901	9904	PII [S0021-9606(00)71246-3]	10.1063/1.1329672			DEC 8 2000	2000										7544							WOS:000165584900005		
J	Segall, MD; Lindan, PJD; Probert, MJ; Pickard, CJ; Hasnip, PJ; Clark, SJ; Payne, MC								First-principles simulation: ideas, illustrations and the CASTEP code								JOURNAL OF PHYSICS-CONDENSED MATTER				14	11			2717	2744	PII S0953-8984(02)32831-5	10.1088/0953-8984/14/11/301			MAR 25 2002	2002										6739							WOS:000174901100002		
J	Diebold, U								The surface science of titanium dioxide								SURFACE SCIENCE REPORTS				48	5-8			53	229	PII S0167-5729(02)00100-0	10.1016/S0167-5729(02)00100-0			2003	2003										5444							WOS:000186523100001		
J	Clark, SJ; Segall, MD; Pickard, CJ; Hasnip, PJ; Probert, MJ; Refson, K; Payne, MC								First principles methods using CASTEP								ZEITSCHRIFT FUR KRISTALLOGRAPHIE				220	5-6			567	570		10.1524/zkri.220.5.567.65075			2005	2005										5394							WOS:000229779300015		
J	Momma, Koichi; Izumi, Fujio								VESTA 3 for three-dimensional visualization of crystal, volumetric and morphology data								JOURNAL OF APPLIED CRYSTALLOGRAPHY				44				1272	1276		10.1107/S0021889811038970			DEC 2011	2011										5309							WOS:000297279800020		
J	Chai, Jeng-Da; Head-Gordon, Martin								Long-range corrected hybrid density functionals with damped atom-atom dispersion corrections								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				10	44			6615	6620		10.1039/b810189b			2008	2008										4534							WOS:000260775400004		
J	Wang, J; Neaton, JB; Zheng, H; Nagarajan, V; Ogale, SB; Liu, B; Viehland, D; Vaithyanathan, V; Schlom, DG; Waghmare, UV; Spaldin, NA; Rabe, KM; Wuttig, M; Ramesh, R								Epitaxial BiFeO3 multiferroic thin film heterostructures								SCIENCE				299	5613			1719	1722		10.1126/science.1080615			MAR 14 2003	2003										4223							WOS:000181519500041		
J	Baroni, S; de Gironcoli, S; Dal Corso, A; Giannozzi, P								Phonons and related crystal properties from density-functional perturbation theory								REVIEWS OF MODERN PHYSICS				73	2			515	562		10.1103/RevModPhys.73.515			APR 2001	2001										4116							WOS:000170126800008		
J	Robertson, J								Diamond-like amorphous carbon								MATERIALS SCIENCE & ENGINEERING R-REPORTS				37	4-6			129	281	PII S0927-796X(02)00005-0	10.1016/S0927-796X(02)00005-0			MAY 24 2002	2002										4021							WOS:000176298100001		
J	Ferrari, Andrea C.								Raman spectroscopy of graphene and graphite: Disorder, electron-phonon coupling, doping and nonadiabatic effects								SOLID STATE COMMUNICATIONS				143	1-2			47	57		10.1016/j.ssc.2007.03.052			JUL 2007	2007										3842							WOS:000247947100009		
