AUTHOR IDENTIFIERS: (D-1490-2011)
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, ESCI.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Plasmonics for improved photovoltaic devices","Atwater, Harry A.; Polman, Albert","","","","NATURE MATERIALS","MAR 2010","2010","9","3","","","","205","213","","10.1038/NMAT2629","","","5453","545.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","337","530","687","725","743","716","638","598","401","0"
"Plasmonic solar cells","Catchpole, K. R.; Polman, A.","","","","OPTICS EXPRESS","DEC 22 2008","2008","16","26","","","","21793","21800","","10.1364/OE.16.021793","","","1088","90.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","72","93","129","128","138","133","135","117","86","40","0"
"Erbium implanted thin film photonic materials","Polman, A","","","","JOURNAL OF APPLIED PHYSICS","JUL 1 1997","1997","82","1","","","","1","39","","10.1063/1.366265","","","980","42.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","27","56","61","48","49","58","63","77","62","49","54","54","45","46","45","27","45","33","32","19","19","10","0"
"Plasmon slot waveguides: Towards chip-scale propagation with subwavelength-scale localization","Dionne, JA; Sweatlock, LA; Atwater, HA; Polman, A","","","","PHYSICAL REVIEW B","JAN 2006","2006","73","3","","","","","","035407","10.1103/PhysRevB.73.035407","","","793","56.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","17","34","51","67","85","81","95","69","63","62","71","49","38","0"
"Design principles for particle plasmon enhanced solar cells","Catchpole, K. R.; Polman, A.","","","","APPLIED PHYSICS LETTERS","NOV 10 2008","2008","93","19","","","","","","191113","10.1063/1.3021072","","","597","49.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","43","62","74","79","77","73","67","39","48","21","0"
"Photovoltaic materials: Present efficiencies and future challenges","Polman, Albert; Knight, Mark; Garnett, Erik C.; Ehrler, Bruno; Sinke, Wim C.","","","","SCIENCE","APR 15 2016","2016","352","6283","","","","","","aad4424","10.1126/science.aad4424","","","577","144.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","162","222","155","0"
"Photonic design principles for ultrahigh-efficiency photovoltaics","Polman, Albert; Atwater, Harry A.","","","","NATURE MATERIALS","MAR 2012","2012","11","3","","","","174","177","","10.1038/nmat3263","","","502","62.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","58","92","76","86","74","56","40","0"
"Broadband omnidirectional antireflection coating based on subwavelength surface Mie resonators","Spinelli, P.; Verschuuren, M. A.; Polman, A.","","","","NATURE COMMUNICATIONS","FEB 2012","2012","3","","","","","","","692","10.1038/ncomms1691","","","491","61.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","52","63","80","100","60","76","48","0"
"Light trapping in ultrathin plasmonic solar cells","Ferry, Vivian E.; Verschuuren, Marc A.; Li, Hongbo B. T.; Verhagen, Ewold; Walters, Robert J.; Schropp, Ruud E. I.; Atwater, Harry A.; Polman, Albert","","","","OPTICS EXPRESS","JUN 21 2010","2010","18","13","","","","A237","A245","","10.1364/OE.18.00A237","","","452","45.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","57","71","62","65","58","42","38","19","0"
"Defect-related versus excitonic visible light emission from ion beam synthesized Si nanocrystals in SiO2","Min, KS; Shcheglov, KV; Yang, CM; Atwater, HA; Brongersma, ML; Polman, A","","","","APPLIED PHYSICS LETTERS","SEP 30 1996","1996","69","14","","","","2033","2035","","10.1063/1.116870","","","400","16.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","19","27","29","25","32","23","33","29","29","24","27","22","15","16","6","9","11","7","3","2","2","3","0"
"Tunable light trapping for solar cells using localized surface plasmons","Beck, F. J.; Polman, A.; Catchpole, K. R.","","","","JOURNAL OF APPLIED PHYSICS","JUN 1 2009","2009","105","11","","","","","","114310","10.1063/1.3140609","","","392","35.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","24","46","51","63","54","41","40","27","30","12","0"
"Transparent Conducting Silver Nanowire Networks","van de Groep, Jorik; Spinelli, Pietpaolo; Polman, Albert","","","","NANO LETTERS","JUN 2012","2012","12","6","","","","3138","3144","","10.1021/nl301045a","","","355","44.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","26","55","63","77","59","47","21","0"
"ROOM-TEMPERATURE ELECTROLUMINESCENCE FROM ER-DOPED CRYSTALLINE SI","FRANZO, G; PRIOLO, F; COFFA, S; POLMAN, A; CARNERA, A","","","","APPLIED PHYSICS LETTERS","APR 25 1994","1994","64","17","","","","2235","2237","","10.1063/1.111655","","","332","12.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","20","30","17","30","24","23","14","27","12","20","16","18","8","6","6","6","8","8","5","1","5","5","1","0","0"
"Rare-earth doped polymers for planar optical amplifiers","Slooff, LH; van Blaaderen, A; Polman, A; Hebbink, GA; Klink, SI; Van Veggel, FCJM; Reinhoudt, DN; Hofstraat, JW","","","","JOURNAL OF APPLIED PHYSICS","APR 1 2002","2002","91","7","","","","3955","3980","","10.1063/1.1454190","","","310","17.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","18","18","27","30","17","31","28","24","17","23","20","18","7","8","7","6","0"
