PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Love, JC; Estroff, LA; Kriebel, JK; Nuzzo, RG; Whitesides, GM								Self-assembled monolayers of thiolates on metals as a form of nanotechnology								CHEMICAL REVIEWS				105	4			1103	1169		10.1021/cr0300789			APR 2005	2005										5739							WOS:000228412800003		
J	Wilk, GD; Wallace, RM; Anthony, JM								High-kappa gate dielectrics: Current status and materials properties considerations								JOURNAL OF APPLIED PHYSICS				89	10			5243	5275		10.1063/1.1361065			MAY 15 2001	2001										4816							WOS:000168438400001		
J	Nomura, K; Ohta, H; Takagi, A; Kamiya, T; Hirano, M; Hosono, H								Room-temperature fabrication of transparent flexible thin-film transistors using amorphous oxide semiconductors								NATURE				432	7016			488	492		10.1038/nature03090			NOV 25 2004	2004										4243							WOS:000225322100042		
J	Robertson, J								Diamond-like amorphous carbon								MATERIALS SCIENCE & ENGINEERING R-REPORTS				37	4-6			129	281	PII S0927-796X(02)00005-0	10.1016/S0927-796X(02)00005-0			MAY 24 2002	2002										4021							WOS:000176298100001		
J	Zhu, Yanwu; Murali, Shanthi; Stoller, Meryl D.; Ganesh, K. J.; Cai, Weiwei; Ferreira, Paulo J.; Pirkle, Adam; Wallace, Robert M.; Cychosz, Katie A.; Thommes, Matthias; Su, Dong; Stach, Eric A.; Ruoff, Rodney S.								Carbon-Based Supercapacitors Produced by Activation of Graphene								SCIENCE				332	6037			1537	1541		10.1126/science.1200770			JUN 24 2011	2011										3703							WOS:000291990000039		
J	George, Steven M.								Atomic Layer Deposition: An Overview								CHEMICAL REVIEWS				110	1			111	131		10.1021/cr900056b			JAN 2010	2010										2664							WOS:000274255700005		
J	Dudley, John M.; Genty, Goery; Coen, Stephane								Supercontinuum generation in photonic crystal fiber								REVIEWS OF MODERN PHYSICS				78	4			1135	1184		10.1103/RevModPhys.78.1135			OCT-DEC 2006	2006										2402							WOS:000242538800003		
J	Ferrando, Riccardo; Jellinek, Julius; Johnston, Roy L.								Nanoalloys: From theory to applications of alloy clusters and nanoparticles								CHEMICAL REVIEWS				108	3			845	910		10.1021/cr040090g			MAR 2008	2008										2184							WOS:000253947800001		
J	Zhang, SG								Fabrication of novel biomaterials through molecular self-assembly								NATURE BIOTECHNOLOGY				21	10			1171	1178		10.1038/nbt874			OCT 2003	2003										2184							WOS:000185647200028		
J	Xu, Mingsheng; Liang, Tao; Shi, Minmin; Chen, Hongzheng								Graphene-Like Two-Dimensional Materials								CHEMICAL REVIEWS				113	5			3766	3798		10.1021/cr300263a			MAY 2013	2013										2116							WOS:000318892600022		
J	Balzani, V; Credi, A; Raymo, FM; Stoddart, JF								Artificial molecular machines								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				39	19			3348	3391		10.1002/1521-3773(20001002)39:19<3348::AID-ANIE3348>3.0.CO;2-X			2000	2000										2054							WOS:000089732100001		
J	Puurunen, RL								Surface chemistry of atomic layer deposition: A case study for the trimethylaluminum/water process								JOURNAL OF APPLIED PHYSICS				97	12					121301	10.1063/1.1940727			JUN 15 2005	2005										1472							WOS:000230278100001		
J	Liu, Luqiao; Pai, Chi-Feng; Li, Y.; Tseng, H. W.; Ralph, D. C.; Buhrman, R. A.								Spin-Torque Switching with the Giant Spin Hall Effect of Tantalum								SCIENCE				336	6081			555	558		10.1126/science.1218197			MAY 4 2012	2012										1452							WOS:000303498800037		
J	Jiao, Yan; Zheng, Yao; Jaroniec, Mietek; Qiao, Shi Zhang								Design of electrocatalysts for oxygen- and hydrogen-involving energy conversion reactions								CHEMICAL SOCIETY REVIEWS				44	8			2060	2086		10.1039/c4cs00470a			2015	2015										1407							WOS:000352899500002		
J	Xia, YN; Rogers, JA; Paul, KE; Whitesides, GM								Unconventional methods for fabricating and patterning nanostructures								CHEMICAL REVIEWS				99	7			1823	1848		10.1021/cr980002q			JUL 1999	1999										1376							WOS:000081622800008		
J	Seh, Zhi Wei; Kibsgaard, Jakob; Dickens, Colin F.; Chorkendorff, I. B.; Norskov, Jens K.; Jaramillo, Thomas F.								Combining theory and experiment in electrocatalysis: Insights into materials design								SCIENCE				355	6321					eaad4998	10.1126/science.aad4998			JAN 13 2017	2017										1293							WOS:000391743700032		
J	Grzelczak, Marek; Vermant, Jan; Furst, Eric M.; Liz-Marzan, Luis M.								Directed Self-Assembly of Nanoparticles								ACS NANO				4	7			3591	3605		10.1021/nn100869j			JUL 2010	2010										1265							WOS:000280364800008		
J	Ferrari, Andrea C.; Bonaccorso, Francesco; Fal'ko, Vladimir; Novoselov, Konstantin S.; Roche, Stephan; Boggild, Peter; Borini, Stefano; Koppens, Frank H. L.; Palermo, Vincenzo; Pugno, Nicola; Garrido, Jose A.; Sordan, Roman; Bianco, Alberto; Ballerini, Laura; Prato, Maurizio; Lidorikis, Elefterios; Kivioja, Jani; Marinelli, Claudio; Ryhaenen, Tapani; Morpurgo, Alberto; Coleman, Jonathan N.; Nicolosi, Valeria; Colombo, Luigi; Fert, Albert; Garcia-Hernandez, Mar; Bachtold, Adrian; Schneider, Gregory F.; Guinea, Francisco; Dekker, Cees; Barbone, Matteo; Sun, Zhipei; Galiotis, Costas; Grigorenko, Alexander N.; Konstantatos, Gerasimos; Kis, Andras; Katsnelson, Mikhail; Vandersypen, Lieven; Loiseau, Annick; Morandi, Vittorio; Neumaier, Daniel; Treossi, Emanuele; Pellegrini, Vittorio; Polini, Marco; Tredicucci, Alessandro; Williams, Gareth M.; Hong, Byung Hee; Ahn, Jong-Hyun; Kim, Jong Min; Zirath, Herbert; van Wees, Bart J.; van der Zant, Herre; Occhipinti, Luigi; Di Matteo, Andrea; Kinloch, Ian A.; Seyller, Thomas; Quesnel, Etienne; Feng, Xinliang; Teo, Ken; Rupesinghe, Nalin; Hakonen, Pertti; Neil, Simon R. T.; Tannock, Quentin; Loefwander, Tomas; Kinaret, Jari								Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems								NANOSCALE				7	11			4598	4810		10.1039/c4nr01600a			2015	2015										1242							WOS:000351061700001		
J	Hwang, H. Y.; Iwasa, Y.; Kawasaki, M.; Keimer, B.; Nagaosa, N.; Tokura, Y.								Emergent phenomena at oxide interfaces								NATURE MATERIALS				11	2			103	113		10.1038/NMAT3223			FEB 2012	2012										1231							WOS:000299428700008		
J	Chen, Chen; Kang, Yijin; Huo, Ziyang; Zhu, Zhongwei; Huang, Wenyu; Xin, Huolin L.; Snyder, Joshua D.; Li, Dongguo; Herron, Jeffrey A.; Mavrikakis, Manos; Chi, Miaofang; More, Karren L.; Li, Yadong; Markovic, Nenad M.; Somorjai, Gabor A.; Yang, Peidong; Stamenkovic, Vojislav R.								Highly Crystalline Multimetallic Nanoframes with Three-Dimensional Electrocatalytic Surfaces								SCIENCE				343	6177			1339	1343		10.1126/science.1249061			MAR 21 2014	2014										1211							WOS:000333108500033		
J	Novoselov, K. S.; Mishchenko, A.; Carvalho, A.; Castro Neto, A. H.								2D materials and van der Waals heterostructures								SCIENCE				353	6298					aac9439	10.1126/science.aac9439			JUL 29 2016	2016										1190							WOS:000380583600031		
J	Jariwala, Deep; Sangwan, Vinod K.; Lauhon, Lincoln J.; Marks, Tobin J.; Hersam, Mark C.								Emerging Device Applications for Semiconducting Two-Dimensional Transition Metal Dichalcogenides								ACS NANO				8	2			1102	1120		10.1021/nn500064s			FEB 2014	2014										1188							WOS:000332059200004		
J	Robertson, J								High dielectric constant gate oxides for metal oxide Si transistors								REPORTS ON PROGRESS IN PHYSICS				69	2			327	396		10.1088/0034-4885/69/2/R02			FEB 2006	2006										1180							WOS:000235799500002		
J	Kong, Desheng; Wang, Haotian; Cha, Judy J.; Pasta, Mauro; Koski, Kristie J.; Yao, Jie; Cui, Yi								Synthesis of MoS2 and MoSe2 Films with Vertically Aligned Layers								NANO LETTERS				13	3			1341	1347		10.1021/nl400258t			MAR 2013	2013										1149							WOS:000316243800075		
