PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6922							WOS:000310791900008		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6058							WOS:000308825700001		
J	Bloch, Immanuel; Dalibard, Jean; Zwerger, Wilhelm								Many-body physics with ultracold gases								REVIEWS OF MODERN PHYSICS				80	3			885	964		10.1103/RevModPhys.80.885			JUL-SEP 2008	2008										4573							WOS:000259377800004		
J	Chhowalla, Manish; Shin, Hyeon Suk; Eda, Goki; Li, Lain-Jong; Loh, Kian Ping; Zhang, Hua								The chemistry of two-dimensional layered transition metal dichalcogenide nanosheets								NATURE CHEMISTRY				5	4			263	275		10.1038/NCHEM.1589			APR 2013	2013										4132							WOS:000317182900009		
J	Kane, CL; Mele, EJ								Quantum spin Hall effect in graphene								PHYSICAL REVIEW LETTERS				95	22					226801	10.1103/PhysRevLett.95.226801			NOV 25 2005	2005										3774							WOS:000233458500054		
J	Bernevig, B. Andrei; Hughes, Taylor L.; Zhang, Shou-Cheng								Quantum spin Hall effect and topological phase transition in HgTe quantum wells								SCIENCE				314	5806			1757	1761		10.1126/science.1133734			DEC 15 2006	2006										3363							WOS:000242833600053		
J	Kane, CL; Mele, EJ								Z(2) topological order and the quantum spin Hall effect								PHYSICAL REVIEW LETTERS				95	14					146802	10.1103/PhysRevLett.95.146802			SEP 30 2005	2005										3221							WOS:000232229800051		
J	Koenig, Markus; Wiedmann, Steffen; Bruene, Christoph; Roth, Andreas; Buhmann, Hartmut; Molenkamp, Laurens W.; Qi, Xiao-Liang; Zhang, Shou-Cheng								Quantum spin hall insulator state in HgTe quantum wells								SCIENCE				318	5851			766	770		10.1126/science.1148047			NOV 2 2007	2007										3139							WOS:000250583900033		
J	Son, Young-Woo; Cohen, Marvin L.; Louie, Steven G.								Half-metallic graphene nanoribbons								NATURE				444	7117			347	349		10.1038/nature05180			NOV 16 2006	2006										2997							WOS:000242018300043		
J	Nayak, Chetan; Simon, Steven H.; Stern, Ady; Freedman, Michael; Das Sarma, Sankar								Non-Abelian anyons and topological quantum computation								REVIEWS OF MODERN PHYSICS				80	3			1083	1159		10.1103/RevModPhys.80.1083			JUL-SEP 2008	2008										2752							WOS:000259377800008		
J	Jaksch, D; Bruder, C; Cirac, JI; Gardiner, CW; Zoller, P								Cold bosonic atoms in optical lattices								PHYSICAL REVIEW LETTERS				81	15			3108	3111		10.1103/PhysRevLett.81.3108			OCT 12 1998	1998										2700							WOS:000076369400015		
J	Fu, Liang; Kane, C. L.; Mele, E. J.								Topological insulators in three dimensions								PHYSICAL REVIEW LETTERS				98	10					106803	10.1103/PhysRevLett.98.106803			MAR 9 2007	2007										2404							WOS:000244792400042		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2282							WOS:000318143300005		
