PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Zutic, I; Fabian, J; Das Sarma, S								Spintronics: Fundamentals and applications								REVIEWS OF MODERN PHYSICS				76	2			323	410		10.1103/RevModPhys.76.323			APR 2004	2004										6868							WOS:000222471500001		
J	Imada, M; Fujimori, A; Tokura, Y								Metal-insulator transitions								REVIEWS OF MODERN PHYSICS				70	4			1039	1263		10.1103/RevModPhys.70.1039			OCT 1998	1998										4548							WOS:000077004600001		
J	Georges, A; Kotliar, G; Krauth, W; Rozenberg, MJ								Dynamical mean-field theory of strongly correlated fermion systems and the limit of infinite dimensions								REVIEWS OF MODERN PHYSICS				68	1			13	125		10.1103/RevModPhys.68.13			JAN 1996	1996										4323							WOS:A1996UH41100002		
J	Cheong, Sang-Wook; Mostovoy, Maxim								Multiferroics: a magnetic twist for ferroelectricity								NATURE MATERIALS				6	1			13	20		10.1038/nmat1804			JAN 2007	2007										2940							WOS:000243225400013		
J	TRANQUADA, JM; STERNLIEB, BJ; AXE, JD; NAKAMURA, Y; UCHIDA, S								EVIDENCE FOR STRIPE CORRELATIONS OF SPINS AND HOLES IN COPPER-OXIDE SUPERCONDUCTORS								NATURE				375	6532			561	563		10.1038/375561a0			JUN 15 1995	1995										2490							WOS:A1995RD28700043		
J	Catalan, Gustau; Scott, James F.								Physics and Applications of Bismuth Ferrite								ADVANCED MATERIALS				21	24			2463	2485		10.1002/adma.200802849			JUN 26 2009	2009										2360							WOS:000267719000001		
J	DAGOTTO, E								CORRELATED ELECTRONS IN HIGH-TEMPERATURE SUPERCONDUCTORS								REVIEWS OF MODERN PHYSICS				66	3			763	840		10.1103/RevModPhys.66.763			JUL 1994	1994										2246							WOS:A1994PG73600004		
J	Damascelli, A; Hussain, Z; Shen, ZX								Angle-resolved photoemission studies of the cuprate superconductors								REVIEWS OF MODERN PHYSICS				75	2			473	541		10.1103/RevModPhys.75.473			APR 2003	2003										2245							WOS:000182718200004		
J	Gatteschi, D; Sessoli, R								Quantum tunneling of magnetization and related phenomena in molecular materials								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				42	3			268	297		10.1002/anie.200390099			2003	2003										2177							WOS:000180578000003		
J	Gschneidner, KA; Pecharsky, VK; Tsokol, AO								Recent developments in magnetocaloric materials								REPORTS ON PROGRESS IN PHYSICS				68	6			1479	1539		10.1088/0034-4885/68/6/R04			JUN 2005	2005										2158							WOS:000231005900004		
J	Lee, PA; Nagaosa, N; Wen, XG								Doping a Mott insulator: Physics of high-temperature superconductivity								REVIEWS OF MODERN PHYSICS				78	1			17	85		10.1103/RevModPhys.78.17			JAN-MAR 2006	2006										2147							WOS:000236516300002		
J	Salamon, MB; Jaime, M								The physics of manganites: Structure and transport								REVIEWS OF MODERN PHYSICS				73	3			583	628		10.1103/RevModPhys.73.583			JUL 2001	2001										1773							WOS:000172250600002		
J	Schollwock, U								The density-matrix renormalization group								REVIEWS OF MODERN PHYSICS				77	1			259	315		10.1103/RevModPhys.77.259			JAN 2005	2005										1713							WOS:000229544100006		
J	Timusk, T; Statt, B								The pseudogap in high-temperature superconductors: an experimental survey								REPORTS ON PROGRESS IN PHYSICS				62	1			61	122		10.1088/0034-4885/62/1/002			JAN 1999	1999										1656							WOS:000078451600002		
J	Long, De-Liang; Burkholder, Eric; Cronin, Leroy								Polyoxometalate clusters, nanostructures and materials: From self assembly to designer materials and devices								CHEMICAL SOCIETY REVIEWS				36	1			105	121		10.1039/b502666k			JAN 2007	2007										1536							WOS:000243689200022		
J	Mackenzie, AP; Maeno, Y								The superconductivity of Sr2RuO4 and the physics of spin-triplet pairing								REVIEWS OF MODERN PHYSICS				75	2			657	712		10.1103/RevModPhys.75.657			APR 2003	2003										1302							WOS:000182718200008		
J	Kotliar, G.; Savrasov, S. Y.; Haule, K.; Oudovenko, V. S.; Parcollet, O.; Marianetti, C. A.								Electronic structure calculations with dynamical mean-field theory								REVIEWS OF MODERN PHYSICS				78	3			865	951		10.1103/RevModPhys.78.865			JUL-SEP 2006	2006										1268							WOS:000240875200005		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1227							WOS:000282683200001		
J	Sootsman, Joseph R.; Chung, Duck Young; Kanatzidis, Mercouri G.								New and Old Concepts in Thermoelectric Materials								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				48	46			8616	8639		10.1002/anie.200900598			2009	2009										1152							WOS:000271969400003		
J	von Loehneysen, Hilbert; Rosch, Achim; Vojta, Matthias; Woelfle, Peter								Fermi-liquid instabilities at magnetic quantum phase transitions								REVIEWS OF MODERN PHYSICS				79	3			1015	1075		10.1103/RevModPhys.79.1015			JUL-SEP 2007	2007										1045							WOS:000248867000008		
J	Kivelson, SA; Bindloss, IP; Fradkin, E; Oganesyan, V; Tranquada, JM; Kapitulnik, A; Howald, C								How to detect fluctuating stripes in the high-temperature superconductors								REVIEWS OF MODERN PHYSICS				75	4			1201	1241		10.1103/RevModPhys.75.1201			OCT 2003	2003										1012							WOS:000186757200004		
J	Kortus, J; Mazin, II; Belashchenko, KD; Antropov, VP; Boyer, LL								Superconductivity of metallic boron in MgB2								PHYSICAL REVIEW LETTERS				86	20			4656	4659		10.1103/PhysRevLett.86.4656			MAY 14 2001	2001										995							WOS:000168623500058		
J	Paglione, Johnpierre; Greene, Richard L.								High-temperature superconductivity in iron-based materials								NATURE PHYSICS				6	9			645	658		10.1038/NPHYS1759			SEP 10 2010	2010										951							WOS:000281540200011		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										933							WOS:000298133800001		
