PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	HOFFMANN, MR; MARTIN, ST; CHOI, WY; BAHNEMANN, DW								ENVIRONMENTAL APPLICATIONS OF SEMICONDUCTOR PHOTOCATALYSIS								CHEMICAL REVIEWS				95	1			69	96		10.1021/cr00033a004			JAN-FEB 1995	1995										13973							WOS:A1995QG96000005		
J	Welton, T								Room-temperature ionic liquids. Solvents for synthesis and catalysis								CHEMICAL REVIEWS				99	8			2071	2083		10.1021/cr980032t			AUG 1999	1999										10491							WOS:000082107800002		
J	LINSEBIGLER, AL; LU, GQ; YATES, JT								PHOTOCATALYSIS ON TIO2 SURFACES - PRINCIPLES, MECHANISMS, AND SELECTED RESULTS								CHEMICAL REVIEWS				95	3			735	758		10.1021/cr00035a013			MAY 1995	1995										8965							WOS:A1995QX74300013		
J	Kojima, Akihiro; Teshima, Kenjiro; Shirai, Yasuo; Miyasaka, Tsutomu								Organometal Halide Perovskites as Visible-Light Sensitizers for Photovoltaic Cells								JOURNAL OF THE AMERICAN CHEMICAL SOCIETY				131	17			6050	+		10.1021/ja809598r			MAY 6 2009	2009										7250							WOS:000265755800007		
J	Chen, Xiaobo; Mao, Samuel S.								Titanium dioxide nanomaterials: Synthesis, properties, modifications, and applications								CHEMICAL REVIEWS				107	7			2891	2959		10.1021/cr0500535			JUL 2007	2007										7036							WOS:000247926600003		
J	BECKMAN, JS; BECKMAN, TW; CHEN, J; MARSHALL, PA; FREEMAN, BA								APPARENT HYDROXYL RADICAL PRODUCTION BY PEROXYNITRITE - IMPLICATIONS FOR ENDOTHELIAL INJURY FROM NITRIC-OXIDE AND SUPEROXIDE								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				87	4			1620	1624		10.1073/pnas.87.4.1620			FEB 1990	1990										6234							WOS:A1990CP23800075		
J	Hagfeldt, Anders; Boschloo, Gerrit; Sun, Licheng; Kloo, Lars; Pettersson, Henrik								Dye-Sensitized Solar Cells								CHEMICAL REVIEWS				110	11			6595	6663		10.1021/cr900356p			NOV 2010	2010										5924							WOS:000284134300006		
J	de Silva, AP; Gunaratne, HQN; Gunnlaugsson, T; Huxley, AJM; McCoy, CP; Rademacher, JT; Rice, TE								Signaling recognition events with fluorescent sensors and switches								CHEMICAL REVIEWS				97	5			1515	1566		10.1021/cr960386p			JUL-AUG 1997	1997										5803							WOS:A1997XP66000011		
J	Kudo, Akihiko; Miseki, Yugo								Heterogeneous photocatalyst materials for water splitting								CHEMICAL SOCIETY REVIEWS				38	1			253	278		10.1039/b800489g			2009	2009										5773							WOS:000261768900018		
J	Burda, C; Chen, XB; Narayanan, R; El-Sayed, MA								Chemistry and properties of nanocrystals of different shapes								CHEMICAL REVIEWS				105	4			1025	1102		10.1021/cr030063a			APR 2005	2005										5619							WOS:000228412800002		
J	Diebold, U								The surface science of titanium dioxide								SURFACE SCIENCE REPORTS				48	5-8			53	229	PII S0167-5729(02)00100-0	10.1016/S0167-5729(02)00100-0			2003	2003										5444							WOS:000186523100001		
J	Lee, Michael M.; Teuscher, Joel; Miyasaka, Tsutomu; Murakami, Takurou N.; Snaith, Henry J.								Efficient Hybrid Solar Cells Based on Meso-Superstructured Organometal Halide Perovskites								SCIENCE				338	6107			643	647		10.1126/science.1228604			NOV 2 2012	2012										5388							WOS:000310516000047		
J	Wasserscheid, P; Keim, W								Ionic liquids - New "solutions" for transition metal catalysis								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				39	21			3772	3789		10.1002/1521-3773(20001103)39:21<3772::AID-ANIE3772>3.0.CO;2-5			2000	2000										5307							WOS:000165202200006		
J	Walter, Michael G.; Warren, Emily L.; McKone, James R.; Boettcher, Shannon W.; Mi, Qixi; Santori, Elizabeth A.; Lewis, Nathan S.								Solar Water Splitting Cells								CHEMICAL REVIEWS				110	11			6446	6473		10.1021/cr1002326			NOV 2010	2010										5097							WOS:000284134300002		
J	Wang, Xinchen; Maeda, Kazuhiko; Thomas, Arne; Takanabe, Kazuhiro; Xin, Gang; Carlsson, Johan M.; Domen, Kazunari; Antonietti, Markus								A metal-free polymeric photocatalyst for hydrogen production from water under visible light								NATURE MATERIALS				8	1			76	80		10.1038/NMAT2317			JAN 2009	2009										5022							WOS:000261866700023		
J	Law, M; Greene, LE; Johnson, JC; Saykally, R; Yang, PD								Nanowire dye-sensitized solar cells								NATURE MATERIALS				4	6			455	459		10.1038/nmat1387			JUN 2005	2005										4688							WOS:000229502700011		
J	Yella, Aswani; Lee, Hsuan-Wei; Tsao, Hoi Nok; Yi, Chenyi; Chandiran, Aravind Kumar; Nazeeruddin, Md. Khaja; Diau, Eric Wei-Guang; Yeh, Chen-Yu; Zakeeruddin, Shaik M.; Graetzel, Michael								Porphyrin-Sensitized Solar Cells with Cobalt (II/III)-Based Redox Electrolyte Exceed 12 Percent Efficiency								SCIENCE				334	6056			629	634		10.1126/science.1209688			NOV 4 2011	2011										4666							WOS:000296494700044		
J	Liu, Mingzhen; Johnston, Michael B.; Snaith, Henry J.								Efficient planar heterojunction perovskite solar cells by vapour deposition								NATURE				501	7467			395	+		10.1038/nature12509			SEP 19 2013	2013										4503							WOS:000324545700040		
J	Stranks, Samuel D.; Eperon, Giles E.; Grancini, Giulia; Menelaou, Christopher; Alcocer, Marcelo J. P.; Leijtens, Tomas; Herz, Laura M.; Petrozza, Annamaria; Snaith, Henry J.								Electron-Hole Diffusion Lengths Exceeding 1 Micrometer in an Organometal Trihalide Perovskite Absorber								SCIENCE				342	6156			341	344		10.1126/science.1243982			OCT 18 2013	2013										4483							WOS:000325755100039		
J	Bonaccorso, F.; Sun, Z.; Hasan, T.; Ferrari, A. C.								Graphene photonics and optoelectronics								NATURE PHOTONICS				4	9			611	622		10.1038/NPHOTON.2010.186			SEP 2010	2010										4434							WOS:000281467900015		
J	Chen, Xiaobo; Shen, Shaohua; Guo, Liejin; Mao, Samuel S.								Semiconductor-based Photocatalytic Hydrogen Generation								CHEMICAL REVIEWS				110	11			6503	6570		10.1021/cr1001645			NOV 2010	2010										4386							WOS:000284134300004		
J	JURIS, A; BALZANI, V; BARIGELLETTI, F; CAMPAGNA, S; BELSER, P; VONZELEWSKY, A								RU(II) POLYPYRIDINE COMPLEXES - PHOTOPHYSICS, PHOTOCHEMISTRY, ELECTROCHEMISTRY, AND CHEMI-LUMINESCENCE								COORDINATION CHEMISTRY REVIEWS				84				85	277		10.1016/0010-8545(88)80032-8			MAR 1988	1988										4284							WOS:A1988M889400003		
J	Huynh, WU; Dittmer, JJ; Alivisatos, AP								Hybrid nanorod-polymer solar cells								SCIENCE				295	5564			2425	2427		10.1126/science.1069156			MAR 29 2002	2002										4183							WOS:000174712600047		
J	Kim, Hui-Seon; Lee, Chang-Ryul; Im, Jeong-Hyeok; Lee, Ki-Beom; Moehl, Thomas; Marchioro, Arianna; Moon, Soo-Jin; Humphry-Baker, Robin; Yum, Jun-Ho; Moser, Jacques E.; Graetzel, Michael; Park, Nam-Gyu								Lead Iodide Perovskite Sensitized All-Solid-State Submicron Thin Film Mesoscopic Solar Cell with Efficiency Exceeding 9%								SCIENTIFIC REPORTS				2						591	10.1038/srep00591			AUG 21 2012	2012										4178							WOS:000308140100001		
J	Fujishima, Akira; Zhang, Xintong; Tryk, Donald A.								TiO2 photocatalysis and related surface phenomena								SURFACE SCIENCE REPORTS				63	12			515	582		10.1016/j.surfrep.2008.10.001			DEC 15 2008	2008										4082							WOS:000261905700001		
J	ISRAELACHVILI, JN; MITCHELL, DJ; NINHAM, BW								THEORY OF SELF-ASSEMBLY OF HYDROCARBON AMPHIPHILES INTO MICELLES AND BILAYERS								JOURNAL OF THE CHEMICAL SOCIETY-FARADAY TRANSACTIONS II				72				1525	1568		10.1039/f29767201525			1976	1976										3966							WOS:A1976CF30200006		
J	BRUS, LE								ELECTRON ELECTRON AND ELECTRON-HOLE INTERACTIONS IN SMALL SEMICONDUCTOR CRYSTALLITES - THE SIZE DEPENDENCE OF THE LOWEST EXCITED ELECTRONIC STATE								JOURNAL OF CHEMICAL PHYSICS				80	9			4403	4409		10.1063/1.447218			1984	1984										3793							WOS:A1984SQ65600061		
J	Zhou, Huanping; Chen, Qi; Li, Gang; Luo, Song; Song, Tze-bing; Duan, Hsin-Sheng; Hong, Ziruo; You, Jingbi; Liu, Yongsheng; Yang, Yang								Interface engineering of highly efficient perovskite solar cells								SCIENCE				345	6196			542	546		10.1126/science.1254050			AUG 1 2014	2014										3777							WOS:000339651300040		
J	FOX, MA; DULAY, MT								HETEROGENEOUS PHOTOCATALYSIS								CHEMICAL REVIEWS				93	1			341	357		10.1021/cr00017a016			JAN-FEB 1993	1993										3650							WOS:A1993KL64800017		
J	LEE, PC; MEISEL, D								ADSORPTION AND SURFACE-ENHANCED RAMAN OF DYES ON SILVER AND GOLD SOLS								JOURNAL OF PHYSICAL CHEMISTRY				86	17			3391	3395		10.1021/j100214a025			1982	1982										3605							WOS:A1982PC66700025		
J	Scharber, MC; Wuhlbacher, D; Koppe, M; Denk, P; Waldauf, C; Heeger, AJ; Brabec, CL								Design rules for donors in bulk-heterojunction solar cells - Towards 10 % energy-conversion efficiency								ADVANCED MATERIALS				18	6			789	+		10.1002/adma.200501717			MAR 17 2006	2006										3546							WOS:000236603700020		
J	Brabec, CJ; Sariciftci, NS; Hummelen, JC								Plastic solar cells								ADVANCED FUNCTIONAL MATERIALS				11	1			15	26		10.1002/1616-3028(200102)11:1<15::AID-ADFM15>3.3.CO;2-1			FEB 2001	2001										3541							WOS:000168695800002		
J	Dupont, J; de Souza, RF; Suarez, PAZ								Ionic liquid (molten salt) phase organometallic catalysis								CHEMICAL REVIEWS				102	10			3667	3691		10.1021/cr010338r			OCT 2002	2002										3460							WOS:000178548800016		
J	Xing, Guichuan; Mathews, Nripan; Sun, Shuangyong; Lim, Swee Sien; Lam, Yeng Ming; Graetzel, Michael; Mhaisalkar, Subodh; Sum, Tze Chien								Long-Range Balanced Electron- and Hole-Transport Lengths in Organic-Inorganic CH3NH3PbI3								SCIENCE				342	6156			344	347		10.1126/science.1243167			OCT 18 2013	2013										3429							WOS:000325755100040		
J	Plechkova, Natalia V.; Seddon, Kenneth R.								Applications of ionic liquids in the chemical industry								CHEMICAL SOCIETY REVIEWS				37	1			123	150		10.1039/b006677j			2008	2008										3399							WOS:000252411700010		
