PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Snyder, G. Jeffrey; Toberer, Eric S.								Complex thermoelectric materials								NATURE MATERIALS				7	2			105	114		10.1038/nmat2090			FEB 2008	2008										5074							WOS:000252673000014		
J	Imada, M; Fujimori, A; Tokura, Y								Metal-insulator transitions								REVIEWS OF MODERN PHYSICS				70	4			1039	1263		10.1103/RevModPhys.70.1039			OCT 1998	1998										4578							WOS:000077004600001		
J	Venkatasubramanian, R; Siivola, E; Colpitts, T; O'Quinn, B								Thin-film thermoelectric devices with high room-temperature figures of merit								NATURE				413	6856			597	602		10.1038/35098012			OCT 11 2001	2001										3574							WOS:000171485700040		
J	Anisimov, VI; Aryasetiawan, F; Lichtenstein, AI								First-principles calculations of the electronic structure and spectra of strongly correlated systems: The LDA+U method								JOURNAL OF PHYSICS-CONDENSED MATTER				9	4			767	808		10.1088/0953-8984/9/4/002			JAN 27 1997	1997										2501							WOS:A1997WG36100002		
J	Butler, Sheneve Z.; Hollen, Shawna M.; Cao, Linyou; Cui, Yi; Gupta, Jay A.; Gutierrez, Humberto R.; Heinz, Tony F.; Hong, Seung Sae; Huang, Jiaxing; Ismach, Ariel F.; Johnston-Halperin, Ezekiel; Kuno, Masaru; Plashnitsa, Vladimir V.; Robinson, Richard D.; Ruoff, Rodney S.; Salahuddin, Sayeef; Shan, Jie; Shi, Li; Spencer, Michael G.; Terrones, Mauricio; Windl, Wolfgang; Goldberger, Joshua E.								Progress, Challenges, and Opportunities in Two-Dimensional Materials Beyond Graphene								ACS NANO				7	4			2898	2926		10.1021/nn400280c			APR 2013	2013										2282							WOS:000318143300005		
J	Hsu, KF; Loo, S; Guo, F; Chen, W; Dyck, JS; Uher, C; Hogan, T; Polychroniadis, EK; Kanatzidis, MG								Cubic AgPbmSbTe2+m: Bulk thermoelectric materials with high figure of merit								SCIENCE				303	5659			818	821		10.1126/science.1092963			FEB 6 2004	2004										2124							WOS:000188753800051		
J	Barsoum, MW								The M(N+1)AX(N) phases: A new class of solids; Thermodynamically stable nanolaminates								PROGRESS IN SOLID STATE CHEMISTRY				28	1-4			201	281		10.1016/S0079-6786(00)00006-6			2000	2000										1875							WOS:000165981500002		
J	Timusk, T; Statt, B								The pseudogap in high-temperature superconductors: an experimental survey								REPORTS ON PROGRESS IN PHYSICS				62	1			61	122		10.1088/0034-4885/62/1/002			JAN 1999	1999										1661							WOS:000078451600002		
J	Xia, Fengnian; Wang, Han; Jia, Yichen								Rediscovering black phosphorus as an anisotropic layered material for optoelectronics and electronics								NATURE COMMUNICATIONS				5						4458	10.1038/ncomms5458			JUL 2014	2014										1540							WOS:000340623400003		
J	Xiao, Di; Chang, Ming-Che; Niu, Qian								Berry phase effects on electronic properties								REVIEWS OF MODERN PHYSICS				82	3			1959	2007		10.1103/RevModPhys.82.1959			JUL 6 2010	2010										1410							WOS:000279557500001		
J	Mathur, ND; Grosche, FM; Julian, SR; Walker, IR; Freye, DM; Haselwimmer, RKW; Lonzarich, GG								Magnetically mediated superconductivity in heavy fermion compounds								NATURE				394	6688			39	43		10.1038/27838			JUL 2 1998	1998										1310							WOS:000074579600040		
J	Kotliar, G.; Savrasov, S. Y.; Haule, K.; Oudovenko, V. S.; Parcollet, O.; Marianetti, C. A.								Electronic structure calculations with dynamical mean-field theory								REVIEWS OF MODERN PHYSICS				78	3			865	951		10.1103/RevModPhys.78.865			JUL-SEP 2006	2006										1283							WOS:000240875200005		
J	Koppens, F. H. L.; Mueller, T.; Avouris, Ph.; Ferrari, A. C.; Vitiello, M. S.; Polini, M.								Photodetectors based on graphene, other two-dimensional materials and hybrid systems								NATURE NANOTECHNOLOGY				9	10			780	793		10.1038/NNANO.2014.215			OCT 2014	2014										1255							WOS:000343617200018		
J	Ferrari, Andrea C.; Bonaccorso, Francesco; Fal'ko, Vladimir; Novoselov, Konstantin S.; Roche, Stephan; Boggild, Peter; Borini, Stefano; Koppens, Frank H. L.; Palermo, Vincenzo; Pugno, Nicola; Garrido, Jose A.; Sordan, Roman; Bianco, Alberto; Ballerini, Laura; Prato, Maurizio; Lidorikis, Elefterios; Kivioja, Jani; Marinelli, Claudio; Ryhaenen, Tapani; Morpurgo, Alberto; Coleman, Jonathan N.; Nicolosi, Valeria; Colombo, Luigi; Fert, Albert; Garcia-Hernandez, Mar; Bachtold, Adrian; Schneider, Gregory F.; Guinea, Francisco; Dekker, Cees; Barbone, Matteo; Sun, Zhipei; Galiotis, Costas; Grigorenko, Alexander N.; Konstantatos, Gerasimos; Kis, Andras; Katsnelson, Mikhail; Vandersypen, Lieven; Loiseau, Annick; Morandi, Vittorio; Neumaier, Daniel; Treossi, Emanuele; Pellegrini, Vittorio; Polini, Marco; Tredicucci, Alessandro; Williams, Gareth M.; Hong, Byung Hee; Ahn, Jong-Hyun; Kim, Jong Min; Zirath, Herbert; van Wees, Bart J.; van der Zant, Herre; Occhipinti, Luigi; Di Matteo, Andrea; Kinloch, Ian A.; Seyller, Thomas; Quesnel, Etienne; Feng, Xinliang; Teo, Ken; Rupesinghe, Nalin; Hakonen, Pertti; Neil, Simon R. T.; Tannock, Quentin; Loefwander, Tomas; Kinaret, Jari								Science and technology roadmap for graphene, related two-dimensional crystals, and hybrid systems								NANOSCALE				7	11			4598	4810		10.1039/c4nr01600a			2015	2015										1242							WOS:000351061700001		
J	Johnston, David C.								The puzzle of high temperature superconductivity in layered iron pnictides and chalcogenides								ADVANCES IN PHYSICS				59	6			803	1061	PII 927730316	10.1080/00018732.2010.513480			2010	2010										1233							WOS:000282683200001		
J	Novoselov, K. S.; Mishchenko, A.; Carvalho, A.; Castro Neto, A. H.								2D materials and van der Waals heterostructures								SCIENCE				353	6298					aac9439	10.1126/science.aac9439			JUL 29 2016	2016										1190							WOS:000380583600031		
J	Jariwala, Deep; Sangwan, Vinod K.; Lauhon, Lincoln J.; Marks, Tobin J.; Hersam, Mark C.								Emerging Device Applications for Semiconducting Two-Dimensional Transition Metal Dichalcogenides								ACS NANO				8	2			1102	1120		10.1021/nn500064s			FEB 2014	2014										1188							WOS:000332059200004		
J	Saxena, SS; Agarwal, P; Ahilan, K; Grosche, FM; Haselwimmer, RKW; Steiner, MJ; Pugh, E; Walker, IR; Julian, SR; Monthoux, P; Lonzarich, GG; Huxley, A; Sheikin, I; Braithwaite, D; Flouquet, J								Superconductivity on the border of itinerant-electron ferromagnetism in UGe2								NATURE				406	6796			587	592		10.1038/35020500			AUG 10 2000	2000										1185							WOS:000088653800037		
J	Sootsman, Joseph R.; Chung, Duck Young; Kanatzidis, Mercouri G.								New and Old Concepts in Thermoelectric Materials								ANGEWANDTE CHEMIE-INTERNATIONAL EDITION				48	46			8616	8639		10.1002/anie.200900598			2009	2009										1161							WOS:000271969400003		
J	Stewart, GR								Non-Fermi-liquid behavior in d- and f-electron metals								REVIEWS OF MODERN PHYSICS				73	4			797	855		10.1103/RevModPhys.73.797			OCT 2001	2001										1094							WOS:000173175100001		
J	KLEINER, R; STEINMEYER, F; KUNKEL, G; MULLER, P								INTRINSIC JOSEPHSON EFFECTS IN BI2SR2CACU2O8 SINGLE-CRYSTALS								PHYSICAL REVIEW LETTERS				68	15			2394	2397		10.1103/PhysRevLett.68.2394			APR 13 1992	1992										1078							WOS:A1992HP05400036		
J	von Loehneysen, Hilbert; Rosch, Achim; Vojta, Matthias; Woelfle, Peter								Fermi-liquid instabilities at magnetic quantum phase transitions								REVIEWS OF MODERN PHYSICS				79	3			1015	1075		10.1103/RevModPhys.79.1015			JUL-SEP 2007	2007										1052							WOS:000248867000008		
J	Xu, Xiaodong; Yao, Wang; Xiao, Di; Heinz, Tony F.								Spin and pseudospins in layered transition metal dichalcogenides								NATURE PHYSICS				10	5			343	350		10.1038/NPHYS2942			MAY 2014	2014										1034							WOS:000335371200011		
J	Wang, K. F.; Liu, J. -M.; Ren, Z. F.								Multiferroicity: the coupling between magnetic and polarization orders								ADVANCES IN PHYSICS				58	4			321	448		10.1080/00018730902920554			2009	2009										990							WOS:000268619700001		
J	Paglione, Johnpierre; Greene, Richard L.								High-temperature superconductivity in iron-based materials								NATURE PHYSICS				6	9			645	658		10.1038/NPHYS1759			SEP 10 2010	2010										960							WOS:000281540200011		
J	Lee, Chul-Ho; Lee, Gwan-Hyoung; van der Zande, Arend M.; Chen, Wenchao; Li, Yilei; Han, Minyong; Cui, Xu; Arefe, Ghidewon; Nuckolls, Colin; Heinz, Tony F.; Guo, Jing; Hone, James; Kim, Philip								Atomically thin p-n junctions with van der Waals heterointerfaces								NATURE NANOTECHNOLOGY				9	9			676	681		10.1038/NNANO.2014.150			SEP 2014	2014										949							WOS:000341814400009		
J	Gong, Yongji; Lin, Junhao; Wang, Xingli; Shi, Gang; Lei, Sidong; Lin, Zhong; Zou, Xiaolong; Ye, Gonglan; Vajtai, Robert; Yakobson, Boris I.; Terrones, Humberto; Terrones, Mauricio; Tay, Beng Kang; Lou, Jun; Pantelides, Sokrates T.; Liu, Zheng; Zhou, Wu; Ajayan, Pulickel M.								Vertical and in-plane heterostructures from WS2/MoS2 monolayers								NATURE MATERIALS				13	12			1135	1142		10.1038/NMAT4091			DEC 2014	2014										941							WOS:000345432200017		
J	Stewart, G. R.								Superconductivity in iron compounds								REVIEWS OF MODERN PHYSICS				83	4			1589	1652		10.1103/RevModPhys.83.1589			DEC 13 2011	2011										941							WOS:000298133800001		
J	Xia, Fengnian; Wang, Han; Xiao, Di; Dubey, Madan; Ramasubramaniam, Ashwin								Two-dimensional material nanophotonics								NATURE PHOTONICS				8	12			899	907		10.1038/NPHOTON.2010.271			DEC 2014	2014										936							WOS:000345818600008		
J	Conley, Hiram J.; Wang, Bin; Ziegler, Jed I.; Haglund, Richard F., Jr.; Pantelides, Sokrates T.; Bolotin, Kirill I.								Bandgap Engineering of Strained Monolayer and Bilayer MoS2								NANO LETTERS				13	8			3626	3630		10.1021/nl4014748			AUG 2013	2013										894							WOS:000323241000028		
J	Kim, B. J.; Jin, Hosub; Moon, S. J.; Kim, J. -Y.; Park, B. -G.; Leem, C. S.; Yu, Jaejun; Noh, T. W.; Kim, C.; Oh, S. -J.; Park, J. -H.; Durairaj, V.; Cao, G.; Rotenberg, E.								Novel J(eff)=1/2 Mott state induced by relativistic spin-orbit coupling in Sr2IrO4								PHYSICAL REVIEW LETTERS				101	7					076402	10.1103/PhysRevLett.101.076402			AUG 15 2008	2008										851							WOS:000258473800050		
